"Year","Combined heat and power generation","Road transportation","Residential: Stationary combustion","All others"
1990,0.028557,0,0,0
1991,0.030240,0,0,0
1992,0.033204,0.000005,0,0.000000
1993,0.036659,0.000041,0,0.000000
1994,0.039748,0.000081,0,0.000001
1995,0.039705,0.000112,0,0.000002
1996,0.042492,0.000170,0,0.000002
1997,0.048103,0.000214,0,0.000004
1998,0.045412,0.000215,0,0.000004
1999,0.045911,0.000224,0,0.000005
2000,0.047628,0.000241,0,0.000008
2001,0.050426,0.000538,0,0.000011
2002,0.045294,0.000550,0,0.000009
2003,0.037950,0.000551,0,0.000010
2004,0.034179,0.000555,0,0.000012
2005,0.034013,0.000681,0,0.000020
2006,0.024857,0.000817,0,0.000024
2007,0.034326,0.001253,0,0.000055
2008,0.033142,0.001878,0,0.000108
2009,0.031804,0.001892,0,0.000128
2010,0.031263,0.001670,0,0.000136
2011,0.033510,0.001739,0,0.000138
2012,0.034551,0.001979,0,0.000195
2013,0.036110,0.001970,0,0.000193
2014,0.036976,0.001958,0,0.000208
2015,0.038076,0.001848,0,0.000343
2016,0.037381,0.001850,0,0.000384
2017,0.034897,0.001924,0,0.000338
2018,0.036152,0.001953,0.000001,0.000454
2019,0.035120,0.001841,0.001030,0.000547
2020,0.028505,0.001727,0.002400,0.000689
2021,0.033256,0.001763,0.002082,0.001334
2022,0.029694,0.001931,0.001642,0.001427
2023,0.028702,0.002364,0.002500,0.003168
