"Year","Coal","Oil","Gas","Cement"
1950,5.682053,3.447824,0,0.254400
1951,5.701184,3.935136,0,0.345257
1952,5.748816,4.334512,0,0.403406
1953,5.521648,4.400464,0,0.377966
1954,5.488672,5.063648,0.091600,0.381600
1955,5.459360,5.514320,0.091600,0.396137
1956,5.534353,5.614986,0.091628,0.381718
1957,5.089296,5.770800,0.091600,0.359794
1958,4.733888,6.481616,0.091600,0.359794
1959,4.543360,6.540240,0.091600,0.414308
1960,4.510384,6.924960,0.091600,0.414308
1961,4.439643,7.216251,0.102566,0.436114
1962,4.771574,8.333763,0.102614,0.505276
1963,4.601984,9.094048,0.102592,0.577851
1964,4.404128,9.808528,0.102592,0.625097
1965,4.360160,10.182256,0.113584,0.585120
1966,4.333666,11.429450,0.113562,0.675845
1967,4.553485,11.484453,0.124552,0.610443
1968,4.687066,12.837210,0.128262,0.610665
1969,4.730224,13.333296,0.142896,0.708685
1970,4.763908,14.401661,2.367296,1.010481
1971,5.152281,15.284613,2.491857,0.664072
1972,4.357063,16.288599,2.554140,0.659083
1973,4.671600,15.421776,2.264352,0.643433
1974,4.487766,14.822450,2.256705,0.654915
1975,3.568167,12.876908,2.256664,0.456961
1976,3.646235,13.753084,1.597747,0.425467
1977,3.850864,14.084416,1.505904,0.486977
1978,3.916816,14.546080,0.912336,0.498939
1979,4.246576,15.421776,1.417968,0.561914
1980,5.117865,15.441519,1.432416,0.642625
1981,4.932481,15.753889,1.641717,0.740110
1982,3.293936,14.102736,1.696432,0.440503
1983,4.041392,13.600768,1.802688,0.478102
1984,5.224864,13.688704,1.810016,0.518972
1985,5.057182,13.247619,1.846971,0.517475
1986,5.299017,14.123384,1.685718,0.507562
1987,5.232192,14.615696,1.652464,0.550738
1988,7.188768,16.301136,2.202064,0.633209
1989,9.885472,17.920624,3.253632,0.657653
1990,10.707394,18.527236,2.612721,0.676000
1991,8.627703,19.112834,2.198141,0.715000
1992,7.456240,20.818848,2.612432,0.871300
1993,7.628448,22.819392,2.447552,1.004600
1994,9.361520,24.233696,2.630752,1.119400
1995,10.311409,26.837513,2.616328,0.991800
1996,14.415275,29.259270,2.682252,0.961200
1997,18.605792,31.052400,4.528704,0.945900
1998,17.770400,31.209952,6.441312,1.130800
1999,18.517856,32.155264,9.031760,0.950800
2000,14.241968,30.627376,11.918992,1.010400
2001,9.263234,28.467588,13.517432,1.013200
2002,9.379840,30.323264,13.505504,1.079100
2003,9.244272,29.586800,14.736608,1.113300
2004,10.281184,31.323536,16.048320,1.193500
2005,10.251872,33.826048,15.557344,1.152000
2006,12.538208,35.734992,14.333568,1.236300
2007,13.007200,47.225296,8.764288,1.316400
2008,16.733488,47.551392,4.825488,1.307400
2009,13.431481,44.929147,6.378671,1.080600
2010,16.525485,43.460925,10.226747,1.046500
2011,20.848160,45.627792,10.449728,1.080100
2012,23.476319,45.164525,9.808976,1.127500
2013,25.396312,45.915623,9.292317,1.085700
2014,24.388728,43.819832,8.295685,1.021900
2015,27.194208,44.352720,9.112368,1.033200
2016,27.014672,46.063808,9.951424,1.120300
2017,27.753599,45.468273,9.943666,0.914900
2018,27.070793,46.567773,9.981164,0.730400
2019,31.016982,48.022276,12.051371,0.840500
2020,25.193664,43.033680,11.043296,0.879700
2021,24.097083,46.486815,12.083348,0.976303
2022,19.680786,49.003669,12.867979,0.976303
2023,14.492830,49.389945,12.423090,0.976303
