"Year","Coal","Oil","Gas","Cement"
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0.003664,0,0
1972,0,0.003664,0,0
1973,0,0.003664,0,0
1974,0,0.003664,0,0
1975,0,0.007328,0,0
1976,0,0.010992,0,0
1977,0,0.014656,0,0
1978,0,0.021984,0,0
1979,0,0.029312,0,0
1980,0,0.043968,0,0
1981,0,0.047632,0,0
1982,0,0.047632,0,0
1983,0,0.051296,0,0
1984,0,0.058624,0,0
1985,0,0.065952,0,0
1986,0,0.080608,0,0
1987,0,0.080608,0,0
1988,0,0.095264,0,0
1989,0,0.124576,0,0
1990,0,0.168544,0,0
1991,0,0.153888,0,0
1992,0,0.230832,0,0
1993,0,0.194192,0,0
1994,0,0.197856,0,0
1995,0,0.249152,0,0
1996,0,0.289456,0,0
1997,0,0.329760,0,0
1998,0,0.300448,0,0
1999,0,0.421360,0,0
2000,0,0.450672,0,0
2001,0,0.461664,0,0
2002,0,0.589904,0,0
2003,0,0.509296,0,0
2004,0,0.663184,0,0
2005,0,0.600896,0,0
2006,0,0.743792,0,0
2007,0,0.780432,0,0
2008,0,0.839056,0,0
2009,0,0.883024,0,0
2010,0,0.930656,0,0
2011,0,0.985616,0,0
2012,0,1.110192,0,0
2013,0,1.095536,0,0
2014,0,1.319040,0,0
2015,0,1.282400,0,0
2016,0,1.432624,0,0
2017,0,1.513232,0,0
2018,0,1.736736,0,0
2019,0,1.993216,0,0
2020,0,1.678112,0,0
2021,0,1.996880,0,0
2022,0,2.215800,0,0
2023,0,2.205334,0,0
2024,0,2.306210,0,0
