"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,0.001568,-0.000106,-0.000007,-0.000001,
1991,-0.018152,-0.000212,-0.000013,-0.000002,
1992,-0.023232,-0.000318,-0.000020,-0.000003,
1993,-0.011739,-0.000423,-0.000027,-0.000004,
1994,-0.023507,-0.000529,-0.000034,-0.000005,
1995,-0.018466,-0.000635,-0.000040,-0.000006,
1996,-0.022097,-0.000741,-0.000047,-0.000007,
1997,-0.029885,-0.000847,-0.000054,-0.000008,
1998,-0.030055,-0.000953,-0.000061,-0.000009,
1999,-0.032027,-0.001059,-0.000067,-0.000011,
2000,0.004354,-0.001165,-0.000074,-0.000012,
2001,-0.046777,-0.001550,-0.000099,-0.000046,
2002,-0.079341,-0.001936,-0.000123,-0.000080,
2003,-0.091966,-0.002322,-0.000148,-0.000115,
2004,-0.093192,-0.002708,-0.000172,-0.000149,
2005,-0.099226,-0.003094,-0.000197,-0.000183,
2006,-0.100467,-0.003480,-0.000222,-0.000218,
2007,-0.042594,-0.003724,-0.000237,-0.000244,
2008,-0.103861,-0.003968,-0.000253,-0.000270,
2009,-0.136688,-0.004211,-0.000268,-0.000296,
2010,-0.126255,-0.004349,-0.000277,-0.000321,
2011,-0.163788,-0.004487,-0.000286,-0.000347,
2012,-0.157770,-0.004624,-0.000294,-0.000372,
2013,-0.165024,-0.005548,-0.000353,-0.000399,
2014,-0.166354,-0.006472,-0.000412,-0.000426,
2015,-0.162975,-0.007396,-0.000471,-0.000453,
2016,-0.069659,-0.008320,-0.000530,-0.000481,
2017,-0.173892,-0.009245,-0.000589,-0.000508,
2018,-0.169405,-0.010169,-0.000647,-0.000535,
2019,-0.163705,-0.011093,-0.000706,-0.000562,
2020,-0.164721,-0.012017,-0.000765,-0.000589,
2021,-0.107107,-0.012661,-0.000806,-0.000583,
2022,-0.162747,-0.013305,-0.000847,-0.000577,
2023,-0.172381,-0.013949,-0.000888,-0.000571,
