"State","DELHI","DELHI","HARYANA","HARYANA","HIMACHAL PRADESH","HIMACHAL PRADESH","JAMMU AND KASHMIR","JAMMU AND KASHMIR","PUNJAB","PUNJAB","RAJASTHAN","RAJASTHAN","UTTAR PRADESH","UTTAR PRADESH","UTTARAKHAND","UTTARAKHAND","CHHATTISGARH","CHHATTISGARH","GOA","GOA","GUJARAT","GUJARAT","MADHYA PRADESH","MADHYA PRADESH","MAHARASHTRA","MAHARASHTRA","ANDHRA PRADESH","ANDHRA PRADESH","KARNATAKA","KARNATAKA","KERALA","KERALA","LAKSHADWEEP","LAKSHADWEEP","PUDUCHERRY","PUDUCHERRY","TAMIL NADU","TAMIL NADU","ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS","BIHAR","BIHAR","DVC","DVC","JHARKHAND","JHARKHAND","ODISHA","ODISHA","SIKKIM","SIKKIM","WEST BENGAL","WEST BENGAL","ARUNACHAL PRADESH","ARUNACHAL PRADESH","ASSAM","ASSAM","MANIPUR","MANIPUR","MEGHALAYA","MEGHALAYA","MIZORAM","MIZORAM","NAGALAND","NAGALAND","TRIPURA","TRIPURA","TELANGANA","TELANGANA","LADAKH","LADAKH","INDIA","INDIA"
"Type","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear","Thermal","Nuclear"
"200801",154.170000,0,82.370000,0,0,0,0,0,90.210000,0,96.600000,38.820000,159.830000,0,0,0,,0,0,0,,58.830000,174.650000,0,227.520000,56.620000,,0,,41,,0,,0,0,0,89.620000,52.580000,,0,69.100000,0,-155.600000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200802",138.160000,0,81.130000,0,0,0,0,0,86.950000,0,96.790000,38.970000,158.750000,2.810000,0,0,,0,0,0,,54.950000,166.480000,0,250.530000,59.730000,,0,,21.330000,,0,,0,0,0,91.180000,52.240000,,0,68.060000,0,-180.390000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200803",135.050000,0,77.880000,0,0,0,0,0,89.430000,0,96.910000,38.180000,155.380000,22.810000,0,0,,0,0,0,,54.970000,167.320000,0,273.550000,53.740000,,0,,30.250000,,0,,0,0,0,88.260000,50.640000,,0,85.650000,0,-201.880000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200804",148.460000,0,71.890000,0,0,0,0,0,81.170000,0,,39.200000,143.810000,22.300000,0,0,,0,0,0,,57.700000,156.640000,0,276.310000,37.460000,,0,,63.580000,,0,,0,0,0,84.390000,40.860000,,0,121.780000,0,-180.500000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200805",143.190000,0,65.980000,0,0,0,0,0,78.060000,0,,33.860000,149.860000,25.350000,0,0,,0,0,0,,56.210000,166.190000,0,273.830000,46.180000,,0,,42.060000,,0,,0,0,0,84.280000,32.710000,,0,75.240000,0,-168.120000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200806",145.800000,0,58.750000,0,0,0,0,0,82.290000,0,,38,151.250000,26.810000,0,0,,0,0,0,,48.800000,153.880000,0,257.800000,47.340000,,0,,70.240000,,0,,0,0,0,74.310000,42.280000,,0,76.910000,0,-152.960000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200807",148.180000,0,63.380000,0,0,0,0,0,88.830000,0,,37.950000,138.490000,25.160000,0,0,,0,0,0,,28.800000,136.480000,0,257.060000,58.670000,,0,,60.870000,,0,,0,0,0,76.660000,46.060000,,0,64.690000,0,-146.470000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200808",135.150000,0,73.080000,0,0,0,0,0,79.160000,0,,31.420000,143.430000,28.810000,0,0,,0,0,0,,29.270000,144.730000,0,243.280000,58.680000,,0,,29.290000,,0,,0,0,0,73.220000,13.360000,,0,67.130000,0,-156.750000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
"200809",126.900000,0,68.410000,0,0,0,0,0,84.890000,0,,17.580000,148.960000,26.120000,0,0,,0,0,0,,29.220000,144.930000,0,259.720000,54.030000,,0,,39.700000,,0,,0,0,0,70.260000,47.430000,,0,72.290000,0,-166.200000,0,,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,
