"Year","SWE production EXIOBASE 3.8.2","SWE production WIOD2016","SWE production OECDv2","SWE production Eora 199.082","SWE production FIGARO April 2022","SWE production GCB 2023v26","SWE production SCB 2023 (official)","SWE production Eurostat NAMEA","SWE consumption EXIOBASE 3.8.2","SWE consumption WIOD2016","SWE consumption OECDv2","SWE consumption Eora 199.082","SWE consumption FIGARO April 2022","SWE consumption GCB 2023v26","SWE consumption SCB 2023 (official)"
1990,,,,58.110000,,57.509899,,,,,,76.767944,,85.622018,
1991,,,,58.880000,,57.739635,,,,,,77.282242,,84.709909,
1992,,,,61.090000,,57.567243,,,,,,82.483060,,93.680690,
1993,,,,60.850000,,57.560864,,,,,,89.821005,,87.099054,
1994,,,,63.150000,,60.014546,,,,,,93.193481,,86.332491,
1995,63.152585,,57.694346,62.970000,,59.506170,,,78.857322,,74.353505,79.962178,,85.420576,
1996,68.593387,,63.239306,68.430000,,63.381058,,,87.057188,,79.905476,107.588682,,90.861590,
1997,62.278319,,57.288594,62.360000,,58.383135,,,87.406728,,72.904779,80.037539,,86.197354,
1998,63.180775,,58.093100,63.440000,,58.801835,,,90.147641,,76.074457,84.616208,,87.777266,
1999,61.982928,,56.890712,62.090000,,55.981610,,,89.851399,,77.294253,83.485225,,82.203621,
2000,57.861692,71.716769,52.934431,58.360000,,54.930066,,,95.948660,89.030530,76.283783,83.822903,,85.858038,
2001,57.679415,72.639548,52.377696,58.340000,,55.837579,,,90.958361,85.223891,71.177559,79.459211,,80.023815,
2002,57.782870,73.955350,54.133182,59.720000,,56.685411,,,81.402831,88.127399,76.205968,80.596423,,81.946575,
2003,58.886190,72.515299,55.303739,60.390000,,57.292211,,,83.612136,93.454353,82.522197,84.789677,,87.898805,
2004,57.899989,69.379688,53.755785,58.850000,,56.516921,,,82.830598,91.596600,79.830584,84.727683,,87.411278,
2005,54.582348,65.942550,50.542500,55.830000,,53.875335,,,82.634123,90.698054,79.093229,84.019404,,91.312595,
2006,53.168167,63.967517,48.115128,55.280000,,53.738077,,,84.463390,92.276853,78.900905,85.838907,,92.536672,
2007,51.264855,62.716355,46.638202,52.910000,,52.994142,,,85.785603,94.539200,81.130580,87.752556,,91.798751,
2008,48.826292,60.165567,44.728523,50.990000,,50.866881,56.268000,56.288342,80.723212,89.046951,77.478365,85.614391,,89.994583,82.508191
2009,45.164127,56.164418,41.889715,47.250000,,47.238907,51.444000,51.466099,69.836557,78.124064,64.676561,74.969639,,77.241053,68.901565
2010,49.755258,61.592085,47.412099,53.290000,58.178395,53.120374,57.499000,57.498631,78.481346,89.121288,79.428812,85.269592,91.894066,86.144391,79.791892
2011,46.619444,57.080664,43.580612,49.040000,52.685810,49.210977,52.558000,52.523996,78.870741,90.310568,76.903312,85.078412,90.178167,84.257363,83.092863
2012,43.123238,54.286461,,45.910000,49.982976,46.712080,49.438000,49.389482,73.848520,82.546414,,82.754404,83.961666,77.510105,75.740735
2013,41.653090,52.186627,,44.020000,48.944325,45.202084,48.098000,48.065303,73.494492,84.567986,,81.251667,80.777253,74.118600,75.018710
2014,41.523980,51.175944,,44.090000,47.786679,43.473365,46.631000,46.452659,72.254828,81.925926,,78.743792,78.542663,73.155414,70.552568
2015,41.772886,,,44.200000,49.613870,43.418744,47.251000,47.478980,70.292013,,,78.246573,77.767529,71.267870,69.030854
2016,42.279607,,,44.670000,49.585616,43.414112,48.147000,47.720637,72.511152,,,83.211174,77.115572,71.205635,69.912267
2017,42.044258,,,44.360000,47.775256,42.456588,46.630000,46.606787,70.318664,,,86.145825,76.455171,72.253654,68.564279
2018,41.447112,,,43.577131,46.777582,42.036584,46.153000,45.338771,70.745789,,,87.690618,77.986763,72.614485,69.709184
2019,42.480894,,,44.748769,45.275973,41.006040,44.994000,43.446500,67.264814,,,83.484420,74.897316,68.741255,65.038800
2020,43.081335,,,58.553032,39.860735,36.686486,39.351000,37.827415,69.072065,,,96.437264,67.280452,61.346594,58.046474
2021,43.259179,,,55.602964,,38.524786,41.656000,38.755269,76.759212,,,89.867010,,68.159274,63.542928
2022,44.174566,,,,,,,,76.811539,,,,,,
