"Year","SWE production EXIOBASE 3.8.2","SWE production WIOD2016","SWE production OECDv2","SWE production Eora 199.082 (2023)","SWE production FIGARO April 2022","SWE production GCB 2023v26","SWE production SCB 2023 (official)","SWE production Eurostat NAMEA","SWE consumption EXIOBASE 3.8.2","SWE consumption WIOD2016","SWE consumption OECDv2","SWE consumption Eora 199.082 (2023)","SWE consumption FIGARO April 2022","SWE consumption GCB 2023v26","SWE consumption SCB 2023 (official)"
1970,,,,103,,,,,,,,96.015420,,,
1971,,,,94.300000,,,,,,,,86.335220,,,
1972,,,,95.100000,,,,,,,,85.941450,,,
1973,,,,98.800000,,,,,,,,89.093330,,,
1974,,,,91.300000,,,,,,,,85.460900,,,
1975,,,,90.500000,,,,,,,,86.285700,,,
1976,,,,98.400000,,,,,,,,95.538950,,,
1977,,,,95.200000,,,,,,,,95.182390,,,
1978,,,,88.600000,,,,,,,,88.653630,,,
1979,,,,94.900000,,,,,,,,100.386700,,,
1980,,,,81.500000,,,,,,,,91.074270,,,
1981,,,,78,,,,,,,,82.965780,,,
1982,,,,69.900000,,,,,,,,74.547630,,,
1983,,,,65.600000,,,,,,,,68.550310,,,
1984,,,,65.300000,,,,,,,,68.200220,,,
1985,,,,70.300000,,,,,,,,80.703420,,,
1986,,,,69.600000,,,,,,,,63.390430,,,
1987,,,,67.100000,,,,,,,,63.539290,,,
1988,,,,64.900000,,,,,,,,78.069350,,,
1989,,,,63,,,,,,,,86.268190,,,
1990,,,,59.700000,,57.509899,,,,,,82.654840,,85.622018,
1991,,,,59.700000,,57.739635,,,,,,81.879430,,84.709909,
1992,,,,59.500000,,57.567243,,,,,,78.846720,,93.680690,
1993,,,,59.400000,,57.560864,,,,,,61.575510,,87.099054,
1994,,,,61.900000,,60.014546,,,,,,72.733250,,86.332491,
1995,63.152585,,57.694346,61.500000,,59.506170,,,78.857322,,74.353505,82.938050,,85.420576,
1996,68.593387,,63.239306,65.400000,,63.381058,,,87.057188,,79.905476,88.289550,,90.861590,
1997,62.278319,,57.288594,60.400000,,58.383135,,,87.406728,,72.904779,83.022480,,86.197354,
1998,63.180775,,58.093100,61.100000,,58.801835,,,90.147641,,76.074457,86.013890,,87.777266,
1999,61.982928,,56.890712,58.300000,,55.981610,,,89.851399,,77.294253,84.528730,,82.203621,
2000,57.861692,71.716769,52.934431,57.100000,,54.930066,,,95.948660,89.030530,76.283783,86.640170,,85.858038,
2001,57.679415,72.639548,52.377696,58.500000,,55.837579,,,90.958361,85.223891,71.177559,82.880200,,80.023815,
2002,57.782870,73.955350,54.133182,59.100000,,56.685411,,,81.402831,88.127399,76.205968,83.282870,,81.946575,
2003,58.886190,72.515299,55.303739,59.200000,,57.292211,,,83.612136,93.454353,82.522197,87.150980,,87.898805,
2004,57.899989,69.379688,53.755785,58.400000,,56.516921,,,82.830598,91.596600,79.830584,88.295390,,87.411278,
2005,54.582348,65.942550,50.542500,56,,53.875335,,,82.634123,90.698054,79.093229,87.978530,,91.312595,
2006,53.168167,63.967517,48.115128,57.500000,,53.738077,,,84.463390,92.276853,78.900905,91.213350,,92.536672,
2007,51.264855,62.716355,46.638202,56,,52.994142,,,85.785603,94.539200,81.130580,93.258130,,91.798751,
2008,48.826292,60.165567,44.728523,54,,50.866881,56.268000,56.288342,80.723212,89.046951,77.478365,91.822290,,89.994583,82.508191
2009,45.164127,56.164418,41.889715,49.800000,,47.238907,51.444000,51.466099,69.836557,78.124064,64.676561,79.180960,,77.241053,68.901565
2010,49.755258,61.592085,47.412099,55.900000,58.178395,53.120374,57.499000,57.498631,78.481346,89.121288,79.428812,90.281260,91.894066,86.144391,79.791892
2011,46.619444,57.080664,43.580612,51.300000,52.685810,49.210977,52.558000,52.523996,78.870741,90.310568,76.903312,89.884560,90.178167,84.257363,83.092863
2012,43.123238,54.286461,,48.600000,49.982976,46.712080,49.438000,49.389482,73.848520,82.546414,,88.193810,83.961666,77.510105,75.740735
2013,41.653090,52.186627,,47.600000,48.944325,45.202084,48.098000,48.065303,73.494492,84.567986,,86.907350,80.777253,74.118600,75.018710
2014,41.523980,51.175944,,46.100000,47.786679,43.473365,46.631000,46.452659,72.254828,81.925926,,83.330500,78.542663,73.155414,70.552568
2015,41.772886,,,45.300000,49.613870,43.418744,47.251000,47.478980,70.292013,,,82.515580,77.767529,71.267870,69.030854
2016,42.279607,,,45,49.585616,43.414112,48.147000,47.720637,72.511152,,,83.851100,77.115572,71.205635,69.912267
2017,42.044258,,,44.300000,47.775256,42.456588,46.630000,46.606787,70.318664,,,85.782800,76.455171,72.253654,68.564279
2018,41.447112,,,42.540220,46.777582,42.036584,46.153000,45.338771,70.745789,,,91.716150,77.986763,72.614485,69.709184
2019,42.480894,,,41.024880,45.275973,41.006040,44.994000,43.446500,67.264814,,,87.890670,74.897316,68.741255,65.038800
2020,43.081335,,,39.670360,39.860735,36.686486,39.351000,37.827415,69.072065,,,93.483150,67.280452,61.346594,58.046474
2021,43.259179,,,38.587330,,38.524786,41.656000,38.755269,76.759212,,,89.159340,,68.159274,63.542928
2022,44.174566,,,36.769650,,,,,76.811539,,,89.358910,,,
