"Year","LTU production EXIOBASE 3.8.2","LTU production WIOD2016","LTU production OECDv2","LTU production Eora 199.082","LTU production FIGARO April 2022","LTU production GCB 2023v26","LTU production Eurostat NAMEA"
1990,,,,35.300000,,35.737673,
1991,,,,37.240000,,37.820377,
1992,,,,21.160000,,21.168441,
1993,,,,16.410000,,16.319713,
1994,,,,15.890000,,15.767042,
1995,18.018218,,14.135135,15.230000,,15.057343,
1996,19.132889,,14.687785,15.710000,,15.739963,
1997,20.320936,,14.351835,15.180000,,15.162846,
1998,22.265456,,15.096653,16.010000,,15.997053,
1999,20.157490,,12.769641,13.450000,,13.449596,
2000,18.393461,12.437790,11.103296,11.780000,,11.843035,
2001,17.896479,14.176397,12.009206,12.520000,,12.593737,
2002,17.845864,14.037988,12.031188,12.590000,,12.666029,
2003,17.866399,13.742535,12.065330,12.600000,,12.659431,
2004,17.917802,14.577728,12.660091,13.170000,,13.254169,
2005,18.365942,14.915045,13.450997,14.060000,,13.862650,
2006,18.575565,15.152901,13.516448,14.320000,,14.195783,
2007,18.754503,16.379999,14.401773,15.710000,,15.475053,
2008,17.908466,19.274034,14.240198,15.630000,,14.918748,17.873266
2009,15.279329,15.854153,12.440887,13.020000,,12.830513,14.856271
2010,16.465905,17.064719,13.318389,13.800000,15.866661,13.803169,15.867376
2011,16.246495,17.937723,13.262070,14.190000,16.284517,13.960951,16.284903
2012,16.412978,18.136031,,14.370000,16.242096,14.055952,16.242540
2013,16.235102,17.501337,,13.270000,15.272329,13.154249,15.272745
2014,16.199671,17.832492,,13.140000,15.415688,12.854897,15.417629
2015,16.390570,,,13.420000,16.040013,13.055458,15.978484
2016,16.063496,,,13.190000,16.274574,13.121737,16.275097
2017,16.691884,,,13.710000,17.349312,13.286188,17.349631
2018,16.980366,,,13.942975,18.628321,13.434746,18.623660
2019,16.816352,,,13.771914,19.122357,13.677775,19.123339
2020,17.824967,,,11.129729,18.833906,13.538674,20.442128
2021,17.829958,,,13.849153,,13.829675,21.005713
2022,18.388356,,,,,,
