"Year","EST production EXIOBASE 3.8.2","EST production WIOD2016","EST production OECDv2","EST production Eora 199.082","EST production FIGARO April 2022","EST production GCB 2023v26","EST production Eurostat NAMEA"
1990,,,,38.480000,,36.919606,
1991,,,,34.920000,,34.147162,
1992,,,,26.040000,,24.421038,
1993,,,,20.080000,,19.438747,
1994,,,,20.250000,,20.045086,
1995,16.318589,,16.022086,18.740000,,18.061319,
1996,17.283700,,16.950109,19.590000,,19.043079,
1997,16.922602,,16.552433,19.310000,,18.682882,
1998,16.375511,,15.984575,18.230000,,16.940746,
1999,15.361095,,14.839071,16.880000,,15.937988,
2000,14.992846,15.354576,14.565206,16.980000,,15.481725,
2001,15.426958,15.899624,15.034560,17.530000,,15.882095,
2002,15.021736,15.389096,14.608882,16.720000,,15.370402,
2003,16.926350,17.391271,16.533292,18.880000,,17.263583,
2004,17.143905,17.711510,16.662938,19.300000,,17.327457,
2005,17.391544,17.894505,16.827244,19.660000,,17.096809,
2006,16.244103,16.614037,15.502297,18.500000,,16.444915,
2007,20.123232,20.377143,19.156418,22.300000,,19.942080,
2008,18.614874,18.537730,17.637933,20.990000,,17.822380,18.433300
2009,15.277526,15.227229,14.481626,17.940000,,14.417051,14.910349
2010,19.034014,19.711563,18.506747,22.090000,19.772431,18.975448,19.459368
2011,18.198856,19.473051,17.362264,21.430000,19.623482,18.956355,19.379038
2012,16.949702,18.518417,,20.380000,18.883353,17.771783,18.669952
2013,19.229619,20.307529,,22.950000,21.065290,19.660420,20.836755
2014,19.027849,19.565936,,22.680000,19.950004,18.828277,19.709521
2015,15.974047,,,19.820000,16.829633,15.823998,16.574717
2016,16.224086,,,20.170000,18.311155,17.489174,18.027283
2017,16.915858,,,20.860000,19.533884,18.738383,19.330826
2018,18.094653,,,22.351346,18.541518,17.884835,18.379940
2019,15.057549,,,18.502961,12.881624,12.323983,12.724448
2020,15.791388,,,30.068325,9.772769,9.238881,9.658874
2021,212.265546,,,29.989117,,10.419918,11.152088
2022,223.444844,,,,,,
