"Year","ITA production EXIOBASE 3.8.2","ITA production WIOD2016","ITA production OECDv2","ITA production Eora 199.082 (2023)","ITA production FIGARO April 2022","ITA production GCB 2023v26","ITA production Eurostat NAMEA","ITA consumption EXIOBASE 3.8.2","ITA consumption WIOD2016","ITA consumption OECDv2","ITA consumption Eora 199.082 (2023)","ITA consumption FIGARO April 2022","ITA consumption GCB 2023v26","ITA net_trade EXIOBASE 3.8.2","ITA net_trade WIOD2016","ITA net_trade OECDv2","ITA net_trade Eora 199.082 (2023)","ITA net_trade FIGARO April 2022","ITA net_trade GCB 2023v26"
1970,,,,325,,,,,,,332.353200,,,,,,7.353200,,
1971,,,,340,,,,,,,346.740000,,,,,,6.740000,,
1972,,,,358,,,,,,,365.550500,,,,,,7.550500,,
1973,,,,385,,,,,,,394.477000,,,,,,9.477000,,
1974,,,,389,,,,,,,394.120500,,,,,,5.120500,,
1975,,,,371,,,,,,,378.432500,,,,,,7.432500,,
1976,,,,397,,,,,,,409.876800,,,,,,12.876800,,
1977,,,,385,,,,,,,407.646700,,,,,,22.646700,,
1978,,,,403,,,,,,,421.565700,,,,,,18.565700,,
1979,,,,418,,,,,,,451.837600,,,,,,33.837600,,
1980,,,,419,,,,,,,469.037600,,,,,,50.037600,,
1981,,,,406,,,,,,,443.452300,,,,,,37.452300,,
1982,,,,396,,,,,,,429.924900,,,,,,33.924900,,
1983,,,,387,,,,,,,416.933300,,,,,,29.933300,,
1984,,,,394,,,,,,,418.090200,,,,,,24.090200,,
1985,,,,399,,,,,,,436.886100,,,,,,37.886100,,
1986,,,,393,,,,,,,369.328000,,,,,,-23.672000,,
1987,,,,411,,,,,,,389.299900,,,,,,-21.700100,,
1988,,,,418,,,,,,,459.817600,,,,,,41.817600,,
1989,,,,437,,,,,,,503.553500,,,,,,66.553500,,
1990,,,,445,,438.904296,,,,,521.662000,,567.207827,,,,76.662000,,128.303531
1991,,,,444,,438.385654,,,,,530.432000,,561.295281,,,,86.432000,,122.909627
1992,,,,442,,438.770955,,,,,524.427700,,611.757703,,,,82.427700,,172.986748
1993,,,,436,,431.176400,,,,,418.230800,,558.954913,,,,-17.769200,,127.778513
1994,,,,430,,425.428213,,,,,448.668000,,542.813861,,,,18.668000,,117.385648
1995,435.623861,,409.074896,456,,449.430216,,485.381393,,472.563520,510.044600,,563.305576,49.757532,,63.488624,54.044600,,113.875360
1996,431.199904,,406.797560,449,,443.656710,,530.708646,,475.512996,517.379400,,531.125018,99.508742,,68.715435,68.379400,,87.468309
1997,434.829204,,410.662725,453,,449.430941,,523.137177,,473.235735,525.601100,,535.699275,88.307972,,62.573011,72.601100,,86.268334
1998,446.741774,,421.170551,464,,461.646721,,555.430892,,501.949476,542.225900,,545.393861,108.689118,,80.778925,78.225900,,83.747139
1999,453.165429,,424.650678,469,,466.393429,,577.339644,,515.078855,549.559300,,561.263205,124.174215,,90.428177,80.559300,,94.869776
2000,455.107433,483.616244,425.812110,474,,470.524119,,561.742537,600.287075,524.408571,551.053400,,573.759412,106.635104,116.670831,98.596462,77.053400,,103.235293
2001,454.425641,490.553509,428.572421,480,,470.577433,,556.587293,609.066393,531.737572,555.241700,,562.322929,102.161652,118.512884,103.165150,75.241700,,91.745496
2002,460.794784,492.489934,434.742702,482,,478.001997,,570.059466,615.336592,530.895468,563.564800,,575.841060,109.264682,122.846658,96.152766,81.564800,,97.839063
2003,477.969291,507.999974,451.303053,495,,496.005837,,597.367356,650.067631,561.803739,594.390000,,591.694017,119.398065,142.067657,110.500686,99.390000,,95.688180
2004,490.456078,512.971787,458.326068,499,,501.631595,,611.297434,659.655800,577.800289,600.749800,,608.843568,120.841355,146.684013,119.474221,101.749800,,107.211973
2005,493.947457,513.883346,460.553944,499,,502.346598,,618.706040,660.459444,574.325788,600.561000,,618.662082,124.758582,146.576098,113.771844,101.561000,,116.315484
2006,485.898629,509.525758,453.887426,494,,496.934395,,629.141842,666.538644,569.253463,601.675000,,640.451454,143.243213,157.012886,115.366037,107.675000,,143.517059
2007,478.664894,498.800168,446.532422,484,,490.653341,,616.884376,653.740952,561.618075,591.059500,,627.425092,138.219482,154.940784,115.085653,107.059500,,136.771750
2008,463.740480,487.924527,434.534997,472,,479.077162,500.604461,601.649222,637.960695,544.377619,579.639500,,615.452048,137.908742,150.036168,109.842622,107.639500,,136.374886
2009,413.721126,428.895762,389.152434,421,,424.952656,439.605761,560.949022,556.581228,493.446415,527.184500,,565.215931,147.227896,127.685466,104.293981,106.184500,,140.263276
2010,422.982185,437.579475,398.477393,430,450.662893,436.534301,450.626842,565.764177,564.282339,510.799791,527.235700,611.007446,604.136052,142.781993,126.702864,112.322398,97.235700,160.344553,167.601751
2011,412.449923,425.745493,392.254651,418,440.201653,424.739246,440.180422,559.145965,547.005733,503.298665,496.014100,582.128297,582.390375,146.696042,121.260240,111.044015,78.014100,141.926644,157.651129
2012,390.543618,402.052715,,396,417.424917,404.260613,417.833630,493.066035,486.930989,,473.069800,517.342431,528.420318,102.522417,84.878274,,77.069800,99.917514,124.159705
2013,361.104275,372.698686,,368,382.284865,370.253537,382.283524,465.941071,455.856938,,445.200600,486.172362,491.350197,104.836796,83.158252,,77.200600,103.887497,121.096659
2014,342.754447,356.596745,,353,361.492347,350.126682,361.473158,457.320056,437.797692,,429.585200,463.439786,472.019959,114.565609,81.200947,,76.585200,101.947439,121.893277
2015,354.913540,,,360,374.683007,361.935924,374.672986,458.769379,,,431.996300,467.466720,454.364163,103.855839,,,71.996300,92.783713,92.428238
2016,350.097668,,,357,371.480272,358.814016,371.501225,439.669013,,,327.701300,458.325941,441.323828,89.571345,,,-29.298700,86.845669,82.509812
2017,345.569604,,,353,370.478239,353.418594,370.445701,439.129093,,,333.778600,464.086477,446.329905,93.559490,,,-19.221400,93.608238,92.911311
2018,341.177098,,,361.320500,364.648261,349.826898,364.634204,459.128628,,,416.138200,473.646438,451.033943,117.951529,,,54.817700,108.998177,101.207045
2019,331.724393,,,352.930700,357.370498,340.402522,356.955615,429.535946,,,403.776500,458.266394,434.535963,97.811554,,,50.845800,100.895896,94.133440
2020,329.935203,,,348.972700,315.899198,303.281272,312.711347,434.658120,,,433.888200,390.402716,386.874981,104.722917,,,84.915500,74.503518,83.593709
