"Year","MOZ production Eora 199.082","MOZ production GCB 2023v26","MOZ consumption Eora 199.082","MOZ consumption GCB 2023v26"
1990,1.180000,1.025376,2.508451,4.018676
1991,1.000000,0.941464,2.349919,3.725456
1992,1.180000,1.027206,4.277081,3.565263
1993,1.370000,1.140326,8.280836,3.913373
1994,1.180000,1.098034,7.130631,3.941771
1995,1.280000,1.130973,2.310920,4.223661
1996,1.240000,1.091814,9.536388,2.864277
1997,1.370000,1.170237,2.399091,1.880342
1998,1.320000,1.111895,2.278150,2.775048
1999,1.320000,1.168343,2.414665,3.944797
2000,1.600000,1.321945,2.581431,4.348076
2001,1.930000,1.553994,2.943427,4.844112
2002,2.030000,1.537057,3.435228,4.706094
2003,2.560000,1.855414,3.952464,5.142186
2004,2.830000,1.863973,4.289813,5.152777
2005,2.710000,1.769683,4.186294,5.564223
2006,2.870000,1.915622,4.222429,6.010012
2007,3.280000,2.188865,4.637133,7.131112
2008,3.180000,2.179933,4.840314,8.265677
2009,3.460000,2.439006,5.096906,8.608623
2010,3.680000,2.634548,5.167161,8.253145
2011,4.170000,3.106628,5.756984,10.841694
2012,4.120000,3.054738,5.765001,9.838754
2013,4.390000,3.581790,6.100578,13.471187
2014,5.400000,8.122090,7.061051,18.212834
2015,6.600000,6.730608,8.197981,15.366203
2016,8.940000,8.547341,12.771933,16.064658
2017,8.740000,6.905362,11.632307,12.797247
2018,8.968936,7.010169,14.448601,12.831833
2019,9.259441,7.101099,14.618290,13.538363
2020,14.495594,6.376114,18.177228,12.569578
2021,12.046890,7.181195,16.471679,14.088985
2022,,,,
