"Year","CHN production EXIOBASE 3.8.2","CHN production WIOD2016","CHN production OECDv2","CHN production Eora 199.082","CHN production FIGARO April 2022","CHN production GCB 2023v26","CHN consumption EXIOBASE 3.8.2","CHN consumption WIOD2016","CHN consumption OECDv2","CHN consumption Eora 199.082","CHN consumption FIGARO April 2022","CHN consumption GCB 2023v26"
1990,,,,2404.740000,,2484.854820,,,,1990.037647,,2320.345722
1991,,,,2540.050000,,2606.096182,,,,2187.491179,,2399.879025
1992,,,,2673.090000,,2730.787587,,,,2273.745266,,2575.993341
1993,,,,2896.840000,,2921.650956,,,,2487.677259,,2757.111942
1994,,,,3077.910000,,3103.738693,,,,2471.687690,,2750.088644
1995,3240.905887,,3021.579592,3392.350000,,3361.637235,2768.860444,,2705.034628,2695.326811,,2993.953570
1996,3242.839430,,3090.513531,3376.900000,,3508.818147,2724.058127,,2744.096889,2785.819565,,3125.312862
1997,3295.191604,,3062.903890,3435.880000,,3515.594229,2753.800909,,2723.848828,2678.653448,,3058.559357
1998,3415.238866,,3139.414193,3514.530000,,3364.587594,2857.617564,,2822.666142,2796.542268,,2959.775746
1999,3346.877070,,3040.359181,3447.080000,,3557.274601,2899.049644,,2768.311856,2776.488002,,3172.408039
2000,3555.964649,3667.640835,3310.052428,3682.480000,,3649.200911,3013.943297,3222.940805,2978.685594,2862.885307,,3262.526585
2001,3741.817188,3877.805316,3396.170679,3856.550000,,3728.513481,3238.835735,3438.906955,3083.470639,3089.385832,,3358.154133
2002,4024.398703,4191.851567,3605.322669,4160.940000,,4103.042690,3432.096929,3663.489544,3247.232451,3320.433482,,3650.118159
2003,4632.571114,4843.918300,4176.824598,4826.440000,,4841.118690,3902.659739,4122.561080,3695.267850,3782.193962,,4077.756422
2004,5347.851198,5580.555857,4837.208779,5570.340000,,5217.350873,4473.895058,4561.169735,4112.809928,4223.093168,,4315.593211
2005,6030.891246,6276.765799,5403.023341,6273.360000,,5882.142859,4756.783506,4924.174226,4449.737118,4657.890441,,4717.783540
2006,6651.638987,6931.774495,5913.516370,6974.880000,,6494.338051,5052.992494,5310.413252,4736.925184,5085.454799,,5135.452821
2007,7260.576737,7531.437351,6316.850542,7649.900000,,6983.576721,5484.628423,5790.873660,5079.857637,5607.905210,,5545.422378
2008,7411.241665,7681.642565,6491.462499,7817.780000,,7501.497803,5795.715665,6081.161633,5294.858740,5898.106637,,5969.057469
2009,7886.464811,8236.601594,6795.106770,8378.210000,,7891.089297,6570.279969,7025.856946,5924.134060,6833.584776,,6721.392626
2010,8629.048796,8960.483371,7254.454682,9160.790000,9280.791640,8620.626781,7150.015235,7541.894868,6289.287641,7422.332661,7874.179738,7336.800576
2011,9464.045941,9793.967541,7956.275837,10037.240000,10144.881477,9532.409054,7863.851772,8347.967450,6960.580141,8162.143867,8659.955634,8137.907955
2012,9650.986639,10037.171599,,10271.430000,10462.766360,9779.354357,8098.134210,8653.584207,,8448.003889,9042.871755,8498.250428
2013,10084.704657,10546.765090,,10532.520000,10748.067285,9956.376230,8518.395598,9189.797589,,8814.705952,9337.331686,8724.943975
2014,10168.013306,10528.552986,,10653.920000,10864.628190,9998.674018,8562.169563,9212.067983,,8887.796150,9501.585555,8815.554519
2015,10158.276467,,,10671.330000,10803.925426,9866.951372,8735.468548,,,9002.526799,9681.463510,8868.106184
2016,10202.727921,,,10691.810000,10858.582009,9765.029537,9191.135762,,,9257.544376,10016.387793,8865.027756
2017,10429.941726,,,10911.220000,11107.358857,10011.151673,9512.441349,,,9451.663157,10299.573870,9142.488236
2018,10654.744692,,,11157.071498,11565.169792,10353.934490,9752.221690,,,9575.297289,10851.327193,9615.418067
2019,10984.112150,,,11535.199836,11822.760672,10721.041952,10097.363971,,,9635.598498,11063.149639,9932.761489
2020,12514.018395,,,11405.990526,11240.931128,10914.012165,11348.436511,,,9389.060116,10479.064232,9984.130992
2021,13053.301727,,,12114.836279,,11332.546412,11936.753159,,,9599.482286,,10320.089041
2022,12660.281012,,,,,,11790.703333,,,,,
