"Year","SWE production EXIOBASE 3.8.2","SWE production WIOD2016","SWE production OECDv2","SWE production Eora 199.082","SWE production FIGARO April 2022","SWE production GCB 2022v28","SWE production SCB (official)","SWE production Eurostat NAMEA","SWE consumption EXIOBASE 3.8.2","SWE consumption WIOD2016","SWE consumption OECDv2","SWE consumption Eora 199.082","SWE consumption FIGARO April 2022","SWE consumption GCB 2022v28","SWE consumption SCB (official)","SWE net_trade EXIOBASE 3.8.2","SWE net_trade WIOD2016","SWE net_trade OECDv2","SWE net_trade Eora 199.082","SWE net_trade FIGARO April 2022","SWE net_trade GCB 2022v28","SWE net_trade SCB (official)"
1990,,,,58.110000,,57.580090,,,,,,76.767944,,85.608851,,,,,18.657944,,28.028761,
1991,,,,58.880000,,57.950551,,,,,,77.282242,,84.809226,,,,,18.402242,,26.858675,
1992,,,,61.090000,,57.688900,,,,,,82.483060,,93.701738,,,,,21.393060,,36.012838,
1993,,,,60.850000,,57.725985,,,,,,89.821005,,87.152528,,,,,28.971005,,29.426543,
1994,,,,63.150000,,60.186577,,,,,,93.193481,,86.360270,,,,,30.043481,,26.173693,
1995,63.152585,,57.694346,62.970000,,59.605074,,,78.857322,,74.353505,79.962178,,85.343831,,15.704738,,16.659159,16.992178,,25.738758,
1996,68.593387,,63.239306,68.430000,,63.521837,,,87.057188,,79.905476,107.588682,,90.818925,,18.463801,,16.666170,39.158682,,27.297088,
1997,62.278319,,57.288594,62.360000,,58.425368,,,87.406728,,72.904779,80.037539,,86.012198,,25.128410,,15.616185,17.677539,,27.586829,
1998,63.180775,,58.093100,63.440000,,58.893226,,,90.147641,,76.074457,84.616208,,87.703288,,26.966866,,17.981357,21.176208,,28.810062,
1999,61.982928,,56.890712,62.090000,,56.031844,,,89.851399,,77.294253,83.485225,,82.111249,,27.868471,,20.403541,21.395225,,26.079406,
2000,57.861692,71.716769,52.934431,58.360000,,54.890663,,,95.948660,89.030530,76.283783,83.822903,,85.723552,,38.086968,17.313761,23.349351,25.462903,,30.832889,
2001,57.679415,72.639548,52.377696,58.340000,,55.821961,,,90.958361,85.223891,71.177559,79.459211,,79.898538,,33.278946,12.584343,18.799863,21.119211,,24.076577,
2002,57.782870,73.955350,54.133182,59.720000,,56.791591,,,81.402831,88.127399,76.205968,80.596423,,82.010348,,23.619962,14.172049,22.072786,20.876423,,25.218757,
2003,58.886190,72.515299,55.303739,60.390000,,57.371496,,,83.612136,93.454353,82.522197,84.789677,,87.980196,,24.725947,20.939054,27.218458,24.399677,,30.608700,
2004,57.899989,69.379688,53.755785,58.850000,,56.682884,,,82.830598,91.596600,79.830584,84.727683,,87.588729,,24.930609,22.216912,26.074799,25.877683,,30.905845,
2005,54.582348,65.942550,50.542500,55.830000,,54.066087,,,82.634123,90.698054,79.093229,84.019404,,91.480517,,28.051776,24.755504,28.550729,28.189404,,37.414431,
2006,53.168167,63.967517,48.115128,55.280000,,53.885099,,,84.463390,92.276853,78.900905,85.838907,,92.691142,,31.295223,28.309336,30.785777,30.558907,,38.806043,
2007,51.264855,62.716355,46.638202,52.910000,,53.151971,,,85.785603,94.539200,81.130580,87.752556,,91.995533,,34.520748,31.822845,34.492378,34.842556,,38.843562,
2008,48.826292,60.165567,44.728523,50.990000,,51.070465,56.268000,56.288342,80.723212,89.046951,77.478365,85.614391,,90.241361,82.382908,31.896920,28.881384,32.749841,34.624391,,39.170896,26.114908
2009,45.164127,56.164418,41.889715,47.250000,,47.421459,51.444000,51.466099,69.836557,78.124064,64.676561,74.969639,,77.456551,68.832006,24.672430,21.959646,22.786846,27.719639,,30.035092,17.388006
2010,49.755258,61.592085,47.412099,53.290000,58.178395,53.287345,57.499000,57.498631,78.481346,89.121288,79.428812,85.269592,91.894066,86.304845,79.787605,28.726088,27.529203,32.016713,31.979592,33.715671,33.017500,22.288605
2011,46.619444,57.080664,43.580612,49.040000,52.685810,49.405178,52.558000,52.523996,78.870741,90.310568,76.903312,85.078412,90.178167,84.423948,83.050266,32.251298,33.229904,33.322701,36.038412,37.492357,35.018770,30.492266
2012,43.123238,54.286461,,45.910000,49.982976,46.918582,49.438000,49.389482,73.848520,82.546414,,82.754404,83.961666,77.642845,75.521419,30.725282,28.259953,,36.844404,33.978690,30.724264,26.083419
2013,41.653090,52.186627,,44.020000,48.944325,45.351341,48.098000,48.065303,73.494492,84.567986,,81.251667,80.777253,74.285182,74.588075,31.841402,32.381359,,37.231667,31.832928,28.933841,26.490075
2014,41.523980,51.175944,,44.090000,47.786679,43.477929,46.631000,46.452659,72.254828,81.925926,,78.743792,78.542663,73.260052,70.221907,30.730849,30.749982,,34.653792,30.755984,29.782123,23.590907
2015,41.772886,,,44.200000,49.613870,43.741733,47.251000,47.478980,70.292013,,,78.246573,77.767529,71.653643,69.006496,28.519127,,,34.046573,28.153659,27.911909,21.755496
2016,42.279607,,,44.670000,49.585616,43.415985,48.147000,47.720637,72.511152,,,83.211174,77.115572,71.356348,69.604194,30.231545,,,38.541174,27.529956,27.940362,21.457194
