"YYYYMM","Diesel","Natural gas","Flaring"
201001,0,151.441949,63.037193
201002,0,140.189939,19.298393
201003,0,172.302556,29.479558
201004,0,159.574414,38.059284
201005,0,164.736659,35.397720
201006,144.914960,165.645571,17.421582
201007,0,157.393782,59.692448
201008,0,127.015842,29.930933
201009,0,158.751273,14.614986
201010,0,165.707149,34.146743
201011,0,115.010804,43.082379
201012,277.452574,147.808315,39.329961
201101,0,156.009482,19.870110
201102,0,149.906658,15.423414
201103,0,154.438364,18.585029
201104,0,168.955113,24.289571
201105,0,82.043294,76.885529
201106,234.822441,68.163638,189.960992
201107,0,158.138731,34.688006
201108,0,154.463764,30.272388
201109,0,129.226365,34.889889
201110,0,127.339768,11.258856
201111,0,147.115125,24.624581
201112,323.547390,144.596290,46.743096
201201,0,169.654828,25.013518
201202,0,159.365278,16.456592
201203,0,164.870300,32.874107
201204,0,163.216779,12.667558
201205,0,173.155205,11.565686
201206,221.578371,69.498861,11.451643
201207,0,85.146347,26.724062
201208,0,151.071608,19.163086
201209,0,151.763523,9.855282
201210,0,143.114684,21.630066
201211,0,112.941952,38.008944
201212,238.982863,133.713989,13.437740
201301,0,136.168700,9.780014
201302,0,132.291312,25.050385
201303,0,144.980410,53.550592
201304,0,127.685595,42.065386
201305,0,137.151612,18.460312
201306,228.416350,127.510265,25.041763
201307,0,150.310920,10.824860
201308,0,98.301463,19.832739
201309,0,94.199725,21.951095
201310,0,129.900216,11.881451
201311,0,126.826557,23.787472
201312,307.922778,148.899141,10.501256
201401,0,148.397931,14.858009
201402,0,134.439745,6.963396
201403,0,153.980740,12.829097
201404,0,103.822853,38.671199
201405,0,29.981918,101.313674
201406,205.608839,147.264320,10.201016
201407,0,136.650541,60.010878
201408,0,146.114922,10.316538
201409,0,145.655660,41.493255
201410,0,148.637264,12.051178
201411,0,127.619296,14.014893
201412,263.377525,147.373491,14.363261
201501,43.192471,151.934005,12.856394
201502,68.073929,153.827943,64.281497
201503,10.830362,176.950569,14.991897
201504,25.544767,165.714075,13.051368
201505,54.267889,130.869884,14.254443
201506,47.094939,124.326767,16.677429
201507,0,139.466476,12.467763
201508,0,187.877256,11.661745
201509,0,184.127274,10.190522
201510,0,164.379066,14.876376
201511,0,162.844266,9.413686
201512,204.397194,177.838933,8.345428
201601,24.139657,167.273642,18.540564
201602,0,131.910522,15.413003
201603,13.314086,142.925231,18.010419
201604,35.398590,183.134741,12.113636
201605,0,183.900707,10.943326
201606,40.299707,167.013546,16.678344
201607,19.587515,177.082076,19.235801
201608,17.389382,138.856234,19.451230
201609,20.468242,136.832524,28.551983
201610,20.550050,148.733922,19.526529
201611,26.550785,174.056932,11.927477
201612,41.642171,171.782601,11.055577
201701,43.840671,184.531381,13.682884
201702,0,162.929738,19.841207
201703,14.215449,151.140500,14.512898
201704,0,178.935505,12.098541
201705,0,148.379375,16.977641
201706,21.598078,106.036698,7.170162
201707,14.710720,174.269137,12.079894
201708,25.614783,138.240558,10.712049
201709,51.491572,98.397113,19.577413
201710,39.416400,125.605188,28.358256
201711,20.485561,89.747850,17.148061
201712,25.897426,126.843840,12.344053
201801,9.344181,152.406172,24.325021
201802,0,151.497159,11.127276
201803,0,160.732032,19.092806
201804,39.393185,111.402080,15.787272
201805,56.641061,0.090291,14.679331
201806,0,92.503025,39.828231
201807,21.176508,122.261350,13.671549
201808,0,125.712565,9.566681
201809,42.751039,128.480509,7.749526
201810,21.620188,123.808872,10.245127
201811,10.422795,89.453604,13.237799
201812,42.560853,120.418234,10.319248
201901,21.210779,148.717797,10.654977
201902,0,110.550300,6.918858
201903,0,152.058163,21.269793
201904,0,145.211505,15.208044
201905,0,126.540852,10.580935
201906,6.117183,122.290536,14.499734
201907,39.478309,169.014364,9.719864
201908,10.944598,148.910324,12.379252
201909,30.965475,130.454844,8.423992
201910,29.605692,128.071413,16.393058
201911,0,124.535038,7.499361
201912,26.396013,153.918993,9.936805
202001,11.213607,158.933795,8.951063
202002,9.988328,143.293381,8.308051
202003,0,140.529736,8.286451
202004,0,144.483165,10.240240
202005,0,94.636441,9.739383
202006,0,117.128192,9.659427
202007,15.389137,116.589192,9.859655
202008,0,119.064492,9.495634
202009,19.681115,116.330717,10.821739
202010,10.200218,109.538037,16.882406
202011,17.702980,111.433826,13.517101
202012,33.057110,121.219323,8.575494
202101,9.713792,115.958625,12.640633
202102,9.988328,78.272720,14.002514
202103,0,103.573099,11.879343
202104,32.078360,50.073876,9.102242
202105,0,116.034416,12.918917
202106,17.843012,83.392269,10.006081
202107,28.179577,101.246263,12.181282
202108,10.030338,114.572977,9.405394
202109,8.448714,115.242006,11.263317
202110,12.798179,86.153790,14.833825
202111,17.747201,106.899353,11.235094
202112,30.014732,88.741901,7.873041
202201,27.262000,74.254971,8.986872
202202,16.280551,42.855369,7.010176
202203,0,0,0
202204,0,0,0
202205,0,0,0
202206,0,0,0
202207,0,0,0
202208,0,0,0
202209,0,0,0
202210,0,0,0
202211,0,0,0
202212,0,0,0
202301,0,0,0
202302,0,0,0
202303,0,0,0
202304,0,0,0
202305,0,0,0
202306,0,0,0
202307,0,0,0
202308,0,0,0
202309,0,0,0
202310,0,0,0
202311,0,0,0
202312,0,0,0
202401,0,0,0
202402,0,0,0
202403,0,0,0
202404,0,0,0
202405,0,0,0
202406,0,0,0
202407,0,0,0
202408,0,0,0
202409,0,0,0
202410,0,0,0
202411,0,0,0
202412,0,0,0
202501,0,0,0
202502,0,0,0
202503,0,0,0
202504,0,0,0
