"YYYYMM","Petrol","Road Diesel","Petrol (trend)","Road Diesel (trend)"
201001,124,190,136.735931,205.829407
201002,118,189,136.692104,206.679500
201003,135,211,136.576392,207.213770
201004,128,189,136.513596,207.850575
201005,143,201,136.525198,208.424681
201006,151,227,136.361985,208.720836
201007,157,209,135.969282,209.255617
201008,152,217,135.389866,210.343550
201009,134,220,134.638070,211.824185
201010,131,222,133.583292,213.562958
201011,122,225,132.228603,215.068841
201012,130,223,130.773613,216.317722
201101,115,200,129.350421,217.401444
201102,110,200,127.940831,217.676247
201103,119,220,126.704505,217.491203
201104,122,193,125.758730,217.463849
201105,133,227,125.161875,217.781353
201106,139,227,124.812615,218.462543
201107,142,211,124.390753,218.989255
201108,141,236,123.665306,219.288837
201109,122,228,122.905716,219.842483
201110,123,234,122.201892,220.790082
201111,111,224,121.481200,221.769961
201112,114,219,120.881101,222.949988
201201,108,217,120.395054,224.066675
201202,105,213,119.798773,225.152912
201203,111,220,119.021714,226.090472
201204,113,203,117.933274,226.455241
201205,131,240,116.660346,226.457459
201206,123,233,115.551068,226.365948
201207,134,224,114.795965,226.388543
201208,129,238,114.385910,226.761828
201209,114,232,114.162801,227.573990
201210,115,249,113.995553,228.426182
201211,107,230,113.819623,229.661733
201212,103,228,113.379141,231.105628
201301,101,226,112.573559,232.239608
201302,95,212,111.804865,233.192652
201303,107,222,111.086454,233.831857
201304,106,231,110.504327,234.249604
201305,117,234,110.052385,234.479896
201306,122,247,109.534594,234.573820
201307,131,232,108.890002,234.419370
201308,120,244,108.241372,234.076964
201309,110,244,107.462439,233.581365
201310,105,254,106.547033,233.299337
201311,95,235,105.670538,233.310089
201312,99,221,104.997549,233.512228
201401,93,228,104.628399,234.272294
201402,86,211,104.576871,235.368782
201403,100,235,104.614950,236.185779
201404,102,222,104.602158,236.682289
201405,111,243,104.282922,237.360928
201406,119,254,103.604223,238.288345
201407,123,233,102.745312,239.770095
201408,112,247,101.899799,241.794288
201409,103,263,101.164532,243.471548
201410,99,270,100.662520,244.526752
201411,91,236,100.368935,244.635661
201412,96,243,100.123224,243.917573
201501,86,226,99.886314,243.146533
201502,81,219,99.356310,243.192778
201503,97,246,98.695850,244.509838
201504,94,227,98.153026,246.810695
201505,104,250,97.852611,248.968809
201506,112,279,97.880097,250.506971
201507,113,243,98.049933,251.288847
201508,116,267,98.123480,251.046583
201509,98,257,98.213021,250.887569
201510,99,268,98.310096,251.187923
201511,88,254,98.229906,252.219408
201512,89,243,97.994227,253.966250
201601,86,243,97.704224,256.010137
201602,86,249,97.386008,257.563711
201603,91,248,97.084586,258.579935
201604,89,246,96.675471,259.241224
201605,105,258,96.463530,259.780482
201606,110,284,96.439841,260.131719
201607,115,248,96.445025,260.098861
201608,110,281,96.302516,259.660230
201609,96,265,95.850756,258.627091
201610,97,273,95.052776,257.364810
201611,83,259,94.193781,256.158811
201612,85,244,93.550747,255.094567
201701,84,246,93.172259,254.265928
201702,78,237,93.100803,253.614198
201703,86,255,93.260978,253.055591
201704,89,226,93.398894,252.149093
201705,103,260,93.176022,251.091194
201706,104,264,92.836108,250.520808
201707,115,248,92.773621,250.662482
201708,104,263,93.044506,251.541506
201709,90,252,93.487613,253.004369
201710,91,277,94.091621,254.463943
201711,95,268,94.623620,255.751214
201712,86,242,94.910147,256.766920
201801,83,251,94.841874,256.966066
201802,79,241,94.522217,256.490948
201803,88,248,93.956548,255.586193
201804,86,242,93.253941,254.440215
201805,102,248,92.479748,253.082797
201806,103,265,91.465198,251.716547
201807,115,249,90.204180,250.467470
201808,99,268,89.117963,249.618584
201809,88,246,88.308868,248.811864
201810,86,274,87.622241,247.758014
201811,79,257,87.195803,246.509242
201812,83,232,87.240855,245.530837
201901,76,239,87.615219,245.610153
201902,72,223,88.074357,246.364750
201903,77,243,88.259289,247.209766
201904,88,229,88.059819,247.544767
201905,92,251,87.365562,247.136248
201906,98,256,86.321452,245.563820
201907,110,239,85.186021,243.280670
201908,98,261,84.167545,241.071029
201909,85,247,83.781344,239.838602
201910,80,261,84.039210,240.095319
201911,76,242,84.254222,240.761895
201912,77,234,83.631099,240.432637
202001,73,232,82.321772,238.550864
202002,73,228,80.719898,236.072513
202003,65,228,79.441703,234.201500
202004,65,194,78.941846,233.934299
202005,82,228,79.497901,235.782582
202006,100,255,80.860688,239.110745
202007,110,257,82.222443,242.593360
202008,100,263,82.854669,244.607519
202009,83,259,82.368779,244.408867
202010,80,254,81.097520,242.316324
202011,67,243,79.825763,240.012221
202012,70,231,79.077013,238.773663
202101,68,227,78.756124,238.630716
202102,66,222,78.832812,239.227682
202103,72,240,79.385416,239.994006
202104,71,217,80.223510,240.812113
202105,85,235,81.087069,241.410815
202106,94,254,81.773526,242.029786
