"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,-8.034046,-7.634384,0.411240,-1.262220,12.481703,1.062163
2018,-4.973191,-2.886915,-0.807848,-4.789107,7.266492,1.211122
2019,-9.457195,0.580519,-0.255964,-8.065662,6.927282,-0.250331
2020,-1.122330,-18.399376,0.736103,-0.792983,11.788263,0.133553
2021,0.992967,11.246823,-1.124028,-4.135186,-10.699219,-0.418804
2022,-0.905982,0.793068,-0.255042,-2.581153,14.962382,1.742881
2023,-2.180968,-23.079037,0.208550,-6.225993,1.900085,0.649581
2024,-1.885713,-14.413864,0.561303,0.043653,1.122222,-0.271240
2025,0,5.599117,-1.028502,-4.337915,2.801609,4.888544
2026,0,-6.446360,0.428670,-0.645402,9.120297,-0.263712
