"YYYYMM","Petrol","Road Diesel","Jet kerosene","Petrol (trend)","Road Diesel (trend)","Jet kerosene (trend)"
201001,124,190,72,136.735931,205.829407,79.853237
201002,118,189,73,136.692104,206.679500,78.542375
201003,135,211,74,136.576392,207.213770,77.639934
201004,128,189,57,136.513596,207.850575,77.237445
201005,143,201,85,136.525198,208.424681,77.575136
201006,151,227,86,136.361985,208.720836,78.506090
201007,157,209,87,135.969282,209.255617,80.136913
201008,152,217,93,135.389866,210.343550,82.136857
201009,134,220,88,134.638070,211.824185,83.843295
201010,131,222,86,133.583292,213.562958,84.658053
201011,122,225,90,132.228603,215.068841,84.700868
201012,130,223,85,130.773613,216.317722,84.293647
201101,115,200,69,129.350421,217.401444,83.812041
201102,110,200,69,127.940831,217.676247,83.366946
201103,119,220,80,126.704505,217.491203,82.794875
201104,122,193,73,125.758730,217.463849,82.108014
201105,133,227,92,125.161875,217.781353,81.370231
201106,139,227,87,124.812615,218.462543,80.364804
201107,142,211,82,124.390753,218.989255,79.137092
201108,141,236,85,123.665306,219.288837,78.211331
201109,122,228,87,122.905716,219.842483,77.928826
201110,123,234,83,122.201892,220.790082,78.924165
201111,111,224,81,121.481200,221.769961,80.932178
201112,114,219,76,120.881101,222.949988,83.101118
201201,108,217,74,120.395054,224.066675,84.926454
201202,105,213,70,119.798773,225.152912,86.223346
201203,111,220,104,119.021714,226.090472,86.973517
201204,113,203,64,117.933274,226.455241,87.029152
201205,131,240,91,116.660346,226.457459,86.513942
201206,123,233,93,115.551068,226.365948,86.039986
201207,134,224,95,114.795965,226.388543,85.367774
201208,129,238,92,114.385910,226.761828,84.359653
201209,114,232,89,114.162801,227.573990,83.298376
201210,115,249,95,113.995553,228.426182,82.052758
201211,107,230,85,113.819623,229.661733,80.998772
201212,103,228,58,113.379141,231.105628,81.210381
201301,101,226,78,112.573559,232.239608,82.532401
201302,95,212,73,111.804865,233.192652,84.758875
201303,107,222,82,111.086454,233.831857,87.499807
201304,106,231,88,110.504327,234.249604,90.163324
201305,117,234,91,110.052385,234.479896,92.208229
201306,122,247,98,109.534594,234.573820,93.330937
201307,131,232,107,108.890002,234.419370,93.607516
201308,120,244,102,108.241372,234.076964,93.375071
201309,110,244,99,107.462439,233.581365,93.056873
201310,105,254,106,106.547033,233.299337,93.281989
201311,95,235,94,105.670538,233.310089,94.289700
201312,99,221,79,104.997549,233.512228,95.418884
201401,93,228,89,104.628399,234.272294,96.416988
201402,86,211,93,104.576871,235.368782,96.868261
201403,100,235,88,104.614950,236.185779,96.454296
201404,102,222,86,104.602158,236.682289,95.596756
201405,111,243,89,104.282922,237.360928,95.330398
201406,119,254,107,103.604223,238.288345,96.352190
201407,123,233,110,102.745312,239.770095,99.227240
201408,112,247,107,101.899799,241.794288,103.403402
201409,103,263,118,101.164532,243.471548,107.184865
201410,99,270,127,100.662520,244.526752,109.033399
201411,91,236,110,100.368935,244.635661,108.181918
201412,96,243,102,100.123224,243.917573,105.177656
201501,86,226,85,99.886314,243.146533,101.270600
201502,81,219,79,99.356310,243.192778,97.636101
201503,97,246,84,98.695850,244.509838,95.402202
201504,94,227,84,98.153026,246.810695,94.728570
201505,104,250,105,97.852611,248.968809,94.639546
201506,112,279,100,97.880097,250.506971,93.999390
201507,113,243,107,98.049933,251.288847,92.259957
201508,116,267,100,98.123480,251.046583,89.408125
201509,98,257,93,98.213021,250.887569,86.590890
201510,99,268,91,98.310096,251.187923,84.874660
201511,88,254,84,98.229906,252.219408,84.676966
201512,89,243,76,97.994227,253.966250,85.425450
201601,86,243,76,97.704224,256.010137,86.549628
201602,86,249,79,97.386008,257.563711,87.959569
201603,91,248,82,97.084586,258.579935,89.261137
201604,89,246,79,96.675471,259.241224,90.136119
201605,105,258,87,96.463530,259.780482,90.593012
201606,110,284,109,96.439841,260.131719,90.801007
201607,115,248,104,96.445025,260.098861,90.810956
201608,110,281,98,96.302516,259.660230,90.552180
201609,96,265,93,95.850756,258.627091,90.127721
201610,97,273,99,95.052776,257.364810,89.557742
201611,83,259,92,94.193781,256.158811,89.533554
201612,85,244,77,93.550747,255.094567,90.606432
201701,84,246,83,93.172259,254.265928,92.377692
201702,78,237,80,93.100803,253.614198,93.819333
201703,86,255,87,93.260978,253.055591,94.545684
201704,89,226,97,93.398894,252.149093,94.829684
201705,103,260,96,93.176022,251.091194,94.992083
201706,104,264,97,92.836108,250.520808,95.185638
201707,115,248,104,92.773621,250.662482,95.271123
201708,104,263,107,93.044506,251.541506,95.899578
201709,90,252,110,93.487613,253.004369,97.090549
201710,91,277,100,94.091621,254.463943,98.192836
201711,95,268,97,94.623620,255.751214,98.568238
201712,86,242,83,94.910147,256.766920,98.235983
201801,83,251,111,94.841874,256.966066,97.777035
201802,79,241,78,94.522217,256.490948,97.651408
201803,88,248,88,93.956548,255.586193,97.886503
201804,86,242,90,93.253941,254.440215,98.196715
201805,102,248,101,92.479748,253.082797,98.212111
201806,103,265,102,91.465198,251.716547,98.157891
201807,115,249,109,90.204180,250.467470,98.092174
201808,99,268,104,89.117963,249.618584,97.571993
201809,88,246,99,88.308868,248.811864,96.037695
201810,86,274,102,87.622241,247.758014,94.047032
