"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,81.892325,,97.101061
1991,88.803034,,100.851826
1992,94.841369,,101.144787
1993,98.102971,,101.632766
1994,102.894134,,105.337167
1995,108.985408,,107.099812
1996,114.603776,,107.576490
1997,117.528999,,104.767585
1998,119.782599,,102.481539
1999,124.741570,,101.931455
2000,125.137106,,100.757385
2001,129.976858,,100.477701
2002,129.419813,,97.047806
2003,127.118596,,95.636140
2004,122.526906,,95.862086
2005,117.723584,,94.996364
2006,114.409347,,95.486120
2007,114.016310,,93.926911
2008,110.448446,,91.323669
2009,112.522141,,86.322296
2010,112.355500,,87.924408
2011,111.190360,,85.118555
2012,111.439572,,84.872072
2013,107.816994,,84.783303
2014,102.980939,,84.712820
2015,102.573147,,84.199741
2016,102.109060,,82.752636
2017,101.182414,,81.885803
2018,99.434407,,81.075728
2019,96.829891,,79.821632
2020,85.670198,,74.488271
2021,83.167006,,76.442758
2022,86.998881,,76.146010
2023,85.806018,,76.458921
2024,84.979755,,74.409327
