"Year","Electricity generation","Pulp, paper and print","Manufacturing industries and construction: Other","Residential: Stationary combustion","Road transportation","All others"
1990,0.040338,0,1.560048,4.845008,0,0
1991,0.034962,0,1.618064,4.894960,0,0
1992,0.056712,0,2.385600,4.835712,0.008102,0
1993,0.118012,0,2.326800,4.479440,0.016205,0.099099
1994,0.150005,0,2.453472,3.969168,0.029708,0.107071
1995,0.195869,0,1.695008,3.771824,0.048613,0.077368
1996,0.281912,0,1.629600,3.811808,0.067518,0.033251
1997,0.468198,0,1.785280,4.002096,0.102627,0.092602
1998,0.637917,0,1.734768,4.150272,0.110727,0.085831
1999,0.593909,1.784722,0.002798,4.415488,0.137733,0.078515
2000,0.490166,1.193088,0.020991,4.698064,0.189042,0.067197
2001,0.533585,0.967877,0.393690,4.981424,0.140427,0.135712
2002,0.542040,1.516943,0.498123,5.128032,0.197139,0.075298
2003,1.067309,0.483840,0.576446,5.275536,0.189033,0.217090
2004,1.364344,0.578658,0.702914,5.440288,0.097212,0.303588
2005,0.599688,1.339184,0.847897,5.602128,0.008101,0.361227
2006,0.703329,1.422748,0.817821,5.848976,0.055105,0.393846
2007,0.870331,1.612229,0.751839,6.091232,0.091804,0.412681
2008,1.159680,1.431449,0.872702,6.426538,0.332303,0.351775
2009,1.435344,1.458472,0.819073,6.856282,0.589089,0.502654
2010,1.704297,1.515622,0.928941,7.115159,0.700683,0.526645
2011,1.863978,1.642100,0.838873,7.353499,0.910865,0.748611
2012,2.069526,1.725092,0.998133,7.672918,0.835358,0.890148
2013,2.081062,1.875346,1.243108,7.979059,0.841256,1.166840
2014,2.206942,2.406559,1.008364,8.174925,0.961151,1.305008
2015,2.469125,2.420179,1.135331,8.299511,0.899421,1.317319
2016,2.564341,2.308480,1.170679,8.415601,0.893514,1.366463
2017,2.812623,2.250913,1.095631,8.542037,0.933948,1.374518
2018,2.668266,2.299386,1.056418,8.877965,0.920690,1.271708
2019,2.851875,2.806277,0.994160,9.511343,1.019031,1.213251
2020,3.085612,2.959391,1.057923,9.710952,1.117723,1.211335
2021,3.417911,3.032430,1.058229,10.801562,1.025099,1.289022
2022,3.455751,3.064384,0.963043,10.128608,0.964111,1.180181
2023,3.426907,2.709150,0.980843,9.062896,0.910831,1.302113
2024,3.701963,2.968960,0.978178,8.503885,1.001005,1.278734
