"Year","Coal","Oil","Gas","Cement"
1950,1.883296,1.740400,0,0.159909
1951,2.040848,1.868640,0,0.221691
1952,1.842992,1.806352,0,0.239863
1953,1.547625,2.196748,0,0.254633
1954,1.483920,2.341296,0,0.327086
1955,1.593840,2.678384,0,0.334354
1956,1.761093,2.910746,0,0.323214
1957,1.974896,3.209664,0,0.352526
1958,1.810016,2.986160,0,0.417943
1959,1.461936,3.722624,0,0.472457
1960,1.256752,4.371152,0,0.523337
1961,0.765313,4.309922,0.450400,0.530285
1962,0.406441,4.133982,0.688387,0.432200
1963,0.252816,4.125664,0.604560,0.436114
1964,0.282128,3.781248,1.190800,0.388868
1965,0.263955,4.179283,1.778028,0.367267
1966,0.271136,5.972320,1.850320,0.327086
1967,0.190445,6.090586,1.790918,0.359638
1968,0.201602,6.535557,1.884058,0.429019
1969,0.450525,7.867713,2.476059,0.468670
1970,0.970960,6.837024,0.135568,0.457920
1971,0.901344,7.617456,0.674176,0.468566
1972,0.648528,7.258384,3.136384,0.443444
1973,0.820736,9.376176,3.147376,0.474287
1974,0.699824,9.607008,2.451216,0.435777
1975,0.791333,11.291155,4.458578,0.431722
1976,0.586185,11.034935,6.063352,0.624969
1977,0.604560,13.868240,3.605376,0.782186
1978,0.571584,13.164752,23.856304,1.165125
1979,0.894016,15.359488,8.167056,1.599167
1980,1.608496,18.620448,25.479456,1.728810
1981,1.909095,18.156554,11.165090,1.822598
1982,1.974896,18.642432,7.170448,1.761081
1983,3.147595,22.022175,16.610069,1.888561
1984,4.026736,22.768096,30.510128,2.131037
1985,3.077760,22.504288,27.699840,2.298500
1986,2.726016,22.760768,33.085920,2.383922
1987,2.967840,25.091072,40.117136,2.726830
1988,2.975038,27.284616,38.972266,2.545567
1989,2.986160,25.153360,36.672976,2.357213
1990,2.942192,23.204112,38.908016,2.143120
1991,2.689376,26.065696,38.428032,2.138385
1992,2.377936,28.678128,31.931760,2.398792
1993,1.923600,27.992960,36.097728,2.350431
1994,2.286238,30.450203,37.385859,2.060770
1995,1.934592,27.080624,47.221632,2.294021
1996,1.406976,27.406720,50.566864,2.526291
1997,1.381328,30.019152,39.006944,2.418814
1998,2.110464,33.089584,54.641232,2.650001
1999,2.172665,22.188293,50.920227,2.599103
2000,1.960240,26.827808,38.534288,2.943281
2001,2.095808,28.458288,41.029472,2.945716
2002,2.608768,29.495200,44.653168,3.023737
2003,2.788304,31.942752,44.026624,3.529387
2004,1.923600,32.818448,41.209008,4.035037
2005,2.363280,31.052400,61.210784,4.233442
2006,2.700368,35.233024,49.306448,4.441604
2007,3.011808,38.321776,51.076160,4.660000
2008,3.008246,37.363073,51.550561,5.092050
2009,1.593840,44.891328,54.894048,5.691974
2010,1.216486,45.365407,53.367834,7.746409
2011,1.121149,46.919738,56.720636,7.734613
2012,1.106528,48.540672,64.116336,7.542938
2013,0.776768,52.017808,65.450032,7.896094
2014,0.578912,53.582336,73.833264,8.087319
2015,0.534944,55.590208,78.768672,8.263201
2016,0,54.627928,78.679019,8.928498
2017,0.923350,55.324055,82.354027,10.100318
2018,1.546208,56.231408,88.888640,11.403739
2019,1.275100,59.636564,91.997717,12.541890
2020,0.575261,54.129536,87.025696,11.878520
2021,1.176169,57.342831,96.259011,11.924867
2022,0.758448,61.610160,101.379104,12.836498
2023,0.734113,64.676478,109.221933,12.836498
2024,0.605761,68.143016,101.799697,12.836498
