"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201003,8502,115671,0,0,0,0
201006,7932,128891,0,0,0,0
201009,8105,124355,0,0,0,0
201012,8370,139649,0,0,0,0
201103,8633,147542,0,0,2,0
201106,8639,118749,0,0,0,0
201109,9629,156836,0,0,0,0
201112,7732,144236,0,0,0,0
201203,14704,157142,0,0,0,0
201206,18699,181563,0,0,0,0
201209,17564,181971,0,0,0,0
201212,16064,193078,0,0,0,0
201303,15339,193465,0,0,0,0
201306,13834,206674,0,0,1,0
201309,13491,207059,0,0,0,0
201312,15744,214425,0,0,0,0
201403,15922,221982,0,0,0,0
201406,16349,216952,0,0,0,0
201409,13224,201909,0,0,0,0
201412,12557,180569,0,0,0,0
201503,10055,190413,0,0,0,0
201506,12987,167962,0,0,0,0
201509,8899,167244,0,0,0,0
201512,7828,171409,0,0,0,0
201603,11781,181987,0,0,0,0
201606,15999,193841,0,0,0,0
201609,12265,186183,0,0,0,0
201612,12257,202719,0,0,0,0
201703,16634,208770,0,0,0,0
201706,18071,177722,0,0,0,0
201709,21892,188305,0,0,0,0
201712,19957,191123,0,0,0,0
201803,20307,200776,0,0,0,0
201806,16518,186331,0,0,0,0
201809,20513,207607,0,0,0,0
201812,19763,202857,0,0,0,5
201903,17519,174096,0,0,0,1
201906,15975,162298,172,0,0,3
201909,16506,190441,105,0,0,3
201912,17833,188001,54,0,0,11
202003,16569,166902,131,5,22,8
202006,1825,13641,34,0,0,5
202009,8912,69750,425,1,1,16
202012,12673,97348,518,0,97,19
202103,12940,120707,876,0,259,3
202106,18675,135552,502,0,229,4
202109,16005,159868,360,0,121,3
202112,15490,174243,735,0,76,1
202203,24117,172879,646,10,64,48
202206,17291,139181,587,0,431,53
202209,18437,193753,590,0,3306,108
202212,13300,188877,3277,0,6526,90
202303,12277,190970,6412,7,1796,39
202306,10931,147489,10157,17,4050,78
202309,13759,158605,17451,41,4331,35
202312,18979,156539,18414,5,6885,60
202403,12562,138757,13237,29,5924,38
202406,12950,116728,11533,12,7636,58
202409,14600,129040,15932,26,14430,72
202412,14971,133112,15982,7,15274,148
202503,15186,116813,13785,42,16550,15
202506,4122,24347,4415,38,7402,9
