"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric"
201806,74381,145465,9006,4571,1522
201812,321457,661105,41519,21032,8040
201906,349170,843960,49004,15136,11975
201912,266535,680404,49233,19848,25875
202006,140841,422896,39298,19510,30957
202012,181884,600272,70789,47369,77248
202106,156691,548635,72547,58207,73893
202112,77835,411493,74699,56347,116834
202206,83854,460091,91602,51263,115249
202212,71450,442083,96346,50150,151955
202306,75321,539606,119670,62155,152968
202312,67113,526605,118741,79156,161719
202406,66220,556168,135757,81522,167096
202412,56884,459997,128604,85656,214874
202506,40214,345520,102591,67759,144749
