"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
201701,108890,126012,3142,1533,1323,1,498
201702,105657,130806,3639,1443,1546,1,510
201703,146081,203379,5191,2288,2191,2,551
201704,119975,162383,4222,2174,1413,0,530
201705,130937,184076,4520,2323,1520,3,573
201706,127217,190701,4542,2503,2196,3,531
201707,114776,158440,4966,2417,1820,24,637
201708,95609,148155,4310,2617,2177,9,803
201709,104520,171943,5556,3118,2247,28,623
201710,95355,166193,5524,2885,2180,3,715
201711,102972,186772,5402,3259,3031,21,1179
201712,84787,157628,4223,2876,3412,27,997
201801,89760,166504,6248,2870,2764,15,1268
201802,85077,164631,5730,2559,2546,3,1203
201803,108929,222332,7856,3018,3792,6,1500
201804,105014,193447,8226,2632,3171,11,1554
201805,95377,195098,7834,2464,2310,13,1961
201806,106618,218327,8326,3139,2651,15,2232
201807,102761,197268,10468,3091,2526,10,1724
201808,103063,196425,9370,3431,2457,13,1646
201809,58717,128683,7687,2362,2357,17,311
201810,80313,157304,9061,1992,3390,18,550
201811,92642,163420,9668,1990,4262,32,660
201812,82859,139261,8341,1875,3836,18,868
201901,91623,153098,13052,2115,4648,21,1145
201902,87620,160454,12945,2199,4637,15,997
201903,111849,208040,14676,3047,6616,28,1267
201904,104079,183506,13811,2992,4768,28,1531
201905,110824,196492,16037,3257,4630,28,1694
201906,102758,196439,15949,2863,5760,32,1430
201907,109945,193655,18289,3264,5963,31,1641
201908,94639,192550,16732,3110,5001,30,1686
201909,72519,146463,15373,3561,5880,18,808
201910,88042,164322,19435,6942,4979,14,859
201911,94413,173104,19607,6328,4651,22,1002
201912,84422,168768,17995,5569,5748,43,835
202001,80257,126806,22166,8634,7492,17,928
202002,75852,125116,21646,8341,8154,36,798
202003,67937,107507,19309,9420,10329,26,591
202004,38836,60295,10955,5616,4635,26,477
202005,53218,85904,16089,6751,5578,29,579
202006,67300,113480,19505,10741,8119,36,1091
202007,89543,154352,33369,19117,16798,40,1719
202008,69416,117897,29093,17089,16076,38,1435
202009,67901,120645,33909,20121,21188,44,1419
202010,71370,115382,38070,24856,23158,25,1442
202011,70624,117111,41283,30617,28965,28,1522
202012,67642,117228,42001,39092,43671,37,1723
202101,44327,63054,24861,20587,16315,9,601
202102,49318,73357,30824,21878,18278,30,664
202103,64518,115174,45640,35580,30101,79,1257
202104,50195,90072,37106,26985,23816,38,1438
202105,51456,86855,37145,27222,26786,33,1138
202106,54677,108302,45250,31311,33420,40,1152
202107,46660,93176,39638,30154,25464,41,1260
202108,34171,68598,36223,24497,28860,47,911
202109,31336,70667,37317,22842,33655,57,1098
202110,30890,64698,27593,23734,30560,33,1175
202111,31252,66021,31352,27897,40270,31,1435
202112,35646,72614,36186,32751,48436,41,1956
202201,39713,67575,35226,18900,20892,31,1775
202202,41471,69195,37890,21582,28306,36,2032
202203,45069,84123,48425,27288,34474,36,1915
202204,35289,65030,35089,21697,22175,47,937
202205,42000,74573,37450,23209,29182,36,749
202206,42495,83175,39159,26203,32234,55,1237
202207,41386,74094,36250,23712,28815,52,1602
202208,36332,69441,35116,24719,32006,315,1254
202209,38159,72375,40097,28336,44389,21,1439
202210,36554,66676,36469,32064,35781,38,1060
202211,39881,72663,43697,44581,57980,95,1615
202212,33925,64525,40359,69801,104325,74,1309
202301,39230,69922,41919,8853,18136,19,1168
202302,38433,75357,47064,11916,32475,14,951
202303,48597,103271,67253,16776,44125,31,1308
202304,36138,76519,47681,11787,29740,24,1058
202305,43505,87700,57842,13802,42780,35,1302
202306,46860,99682,62319,15930,52988,34,2326
202307,42496,83358,53138,14345,48682,42,1216
202308,39668,75598,55844,14552,86649,51,1055
202309,39900,78979,57795,15383,31714,3,728
202310,34881,71646,57575,16361,37334,3,1159
202311,39470,81734,60463,18124,44942,2,966
202312,37403,74894,55687,17894,54654,6,1345
202401,40936,81724,52102,14394,22474,5,1918
202402,42153,77106,54792,14575,27479,8,1275
202403,48365,99753,67033,16016,31384,21,1272
202404,46317,90729,60047,15135,29668,5,1201
202405,44893,89498,57413,14038,29708,10,865
202406,52688,111768,72579,15391,43412,13,1478
202407,43107,83405,65059,14811,30762,11,1108
202408,29974,70007,55779,13565,27024,17,956
