"YYYYMM","Diesel","Petrol","Petrol blend","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
2001,122132,359292,57297,3,0,93,2725
2002,140148,380815,64077,7,0,144,2429
2003,187083,431964,73545,15,0,262,2649
2004,237069,530823,96632,20,0,202,3490
2005,258140,563682,108079,24,0,168,3844
2006,311499,661134,138285,21,0,218,5258
2007,386603,753633,181392,24,0,262,6174
2008,470421,758218,171877,16,0,512,4213
2009,534716,884134,198358,31,0,338,3852
2010,711623,1137665,237749,29,0,266,4894
2011,901123,1111749,256418,17,0,616,4770
2012,1274232,976300,222988,25,0,412,5185
2013,1197618,930270,170840,31,0,362,4025
2014,1134351,1045351,182730,16,0,474,3803
2015,1086493,1211808,183312,557,0,676,3991
2016,1012958,1390592,199710,11347,0,609,7353
2017,1056520,1604324,206763,46956,0,820,5342
2018,1024511,1665154,214773,69450,0,1073,5925
2019,866678,1617236,206318,113368,0,1017,4779
2020,477543,1643659,172461,88471,0,3265,4291
2021,527131,2020645,245139,124910,0,12284,6252
2022,634152,2123085,352138,190103,0,33205,4196
2023,636559,2148872,407732,325098,0,73269,223
2024,687344,2065431,543268,342173,41,89734,259
2025,618947,1245287,1058941,286041,67,138918,9938
