"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen"
201706,862465,135,36393,4417,39
201712,833023,217,47394,9124,83
201806,847245,395,41135,11864,196
201812,841917,1633,50778,17268,511
201906,755932,1534,47468,17130,1626
201912,833221,2845,49933,14832,2648
202006,842384,2899,64740,17209,2612
202012,825239,10336,96711,22503,3174
202106,757108,11302,99592,38486,4416
202112,623775,8399,121363,57256,4086
202206,600176,7187,130798,64559,4885
202212,648446,5927,130146,89660,5279
202306,651748,5731,175929,78502,2927
202312,562323,5065,198382,78372,1451
202406,500768,3410,227577,64735,1740
202412,475083,5764,267999,76978,1479
202506,442239,7287,283642,92242,1218
202512,218134,3393,132544,77470,3684
