"YYYYMM","ICE","Mild hybrid","Hybrid","Plug-in hybrid","Battery electric"
201803,97835,0,225,7,37
201806,103787,0,203,7,29
201809,108967,0,242,29,39
201812,105386,0,196,25,24
201903,94431,0,166,18,39
201906,92037,0,252,21,56
201909,102098,0,249,35,76
201912,83122,38,183,11,46
202003,75938,5,179,15,51
202006,26505,3,38,7,5
202009,62215,23,123,18,19
202012,93165,49,356,39,82
202103,81566,87,260,15,58
202106,96173,121,375,62,139
202109,117291,192,705,90,139
202112,117203,296,456,133,220
202203,109260,463,432,155,183
202206,109969,803,699,119,370
202209,108525,563,523,82,349
202212,92119,754,898,118,393
202303,89769,407,601,134,486
202306,65924,558,869,180,283
202309,74384,859,1199,235,191
202312,74454,1373,1097,233,629
202403,68557,782,1022,251,480
202406,66661,1413,1748,317,1255
202409,74469,1482,1964,342,930
202412,73578,3263,1622,388,1842
202503,64741,2776,1829,415,1117
202506,44775,2774,1438,481,1001
