"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Others"
2000,15303,98309,0,0,21
2001,17151,78955,0,0,8
2002,22702,88894,0,0,2
2003,22275,74222,0,0,4
2004,30054,92486,0,0,3
2005,36887,111689,0,0,2
2006,43657,113059,0,0,3
2007,64918,97561,0,0,2
2008,70440,80218,0,0,7
2009,51007,61160,0,0,82
2010,72659,80906,0,0,49
2011,81561,87672,0,465,2
2012,67946,101374,0,530,1
2013,57435,122644,0,533,30
2014,59544,127172,82,1564,44
2015,64203,137698,406,4301,45
2016,80211,140371,572,1265,50
2017,77492,142607,621,691,62
2018,72474,141318,3126,1544,13
2019,60362,155863,3880,5501,14
2020,45809,120674,18235,14218,45
2021,25519,95676,40442,24872,75
2022,16591,75444,26439,30793,6
2023,14985,78594,17218,62578,1
2024,12198,65137,7067,89053,0
2025,4302,25880,2708,57136,15
