"YYYYMM","ICE","Mild hybrid","Hybrid","Plug-in hybrid","Battery electric"
201806,201622,0,428,14,66
201812,214353,0,438,54,63
201906,186468,0,418,39,95
201912,185220,38,432,46,122
202006,102443,8,217,22,56
202012,155380,72,479,57,101
202106,177739,208,635,77,197
202112,234494,488,1161,223,359
202206,219229,1266,1131,274,553
202212,200644,1317,1421,200,742
202306,155693,965,1470,314,769
202312,148838,2232,2296,468,820
202406,135218,2195,2770,568,1735
202412,148047,4745,3586,730,2772
202506,109516,5550,3267,896,2118
