"YYYYMM","Diesel","Petrol","Petrol blend","LPG","Hybrid","Battery electric","Others"
201303,3485,12237,576,0,13,1,16
201306,5206,15533,652,0,5,2,25
201309,6659,15380,687,0,17,4,28
201312,3748,9576,480,0,156,3,8
201403,2780,6726,354,0,155,1,4
201406,2400,3236,249,0,28,4,0
201409,5353,8746,919,0,45,19,5
201412,7618,13331,1403,0,114,25,8
201503,3912,5453,664,0,36,43,0
201506,5383,6629,883,0,280,63,7
201509,7490,8844,1445,0,268,136,16
201512,9764,10761,1732,1,162,149,5
201603,6845,8125,1130,0,109,230,7
201606,7288,8881,1204,0,87,242,5
201609,7694,9328,1359,0,112,243,1
201612,8891,11378,1381,0,331,443,2
201703,6951,9144,1037,0,213,464,0
201706,8181,10554,1192,0,720,477,3
201709,8453,11126,1019,1,445,391,3
201712,10574,11804,1203,0,614,462,2
201803,8710,9250,1170,0,420,381,0
201806,8035,10351,1201,0,372,534,1
201809,7628,10964,1030,0,429,662,1
201812,9797,11665,1225,1,513,759,4
201903,100821,30865,13685,24,685,483,17
201906,20934,18747,3747,35,1141,746,6
201909,17832,22294,3060,86,1113,910,5
201912,22369,27201,4128,169,1459,898,3
202003,16971,25015,1693,193,1134,700,2
202006,13223,19873,1849,298,1407,667,2
202009,24377,34313,3676,466,1949,869,8
202012,27843,37162,4114,610,2110,712,2
202103,23952,29556,3573,819,1978,607,4
202106,30503,37769,3928,767,3166,670,5
202109,37916,43248,5097,1129,3161,879,6
202112,42306,45401,5053,798,3723,1310,6
202203,20706,21398,1942,400,1566,718,1
202206,49299,26112,3052,212,1681,1473,1
202209,19144,20034,1888,256,1980,3097,5
202212,13093,20556,1671,142,2140,3377,5
202303,15534,19507,1634,95,2592,4077,1
202306,19788,23887,1890,81,3748,6643,1
202309,21721,28553,2405,144,4406,9812,3
202312,22280,32035,2682,292,4781,11801,0
202403,18802,29834,2356,259,4384,10899,0
202406,16394,30688,2523,200,5486,11009,3
202409,18929,32471,2398,176,6975,13939,2
202412,14732,24217,1681,78,5169,10451,0
202503,14156,26165,1677,122,5766,12308,0
202506,17325,34996,2001,152,7841,17098,2
202509,16750,38370,2066,213,7893,23301,0
202512,17627,38165,1970,196,8281,50991,2
202603,15344,34982,1557,274,7850,5172,3
202606,5129,12903,582,76,3338,2668,1
