"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,54.852776,9.078226,25.904376
1991,56.090488,8.887390,26.614509
1992,59.192281,8.861562,28.222584
1993,61.170171,10.254503,26.615063
1994,61.607524,10.378293,25.931508
1995,63.276760,10.542415,26.009285
1996,63.905838,11.190927,25.221093
1997,63.792799,11.477972,26.396790
1998,68.117535,11.599533,25.451418
1999,68.867322,11.892257,25.490796
2000,69.874616,11.472108,26.402898
2001,69.243164,12.450114,28.306545
2002,71.500229,12.911107,27.747941
2003,70.859010,13.764118,27.607007
2004,71.805048,14.696446,27.601350
2005,69.021470,15.360577,29.185992
2006,71.043725,16.731755,27.235346
2007,71.680737,17.142966,26.941881
2008,71.024527,15.191150,22.629122
2009,70.642510,12.654874,20.662831
2010,68.249114,9.795561,23.687592
2011,66.365029,13.516062,21.663408
2012,59.184542,13.540230,22.343728
2013,62.824833,11.063373,18.740356
2014,67.028574,10.966916,19.590320
2015,68.966404,10.008246,16.412070
2016,69.175532,8.896508,16.083281
2017,68.191095,7.222629,14.926928
2018,68.169152,8.198105,17.105177
2019,68.175582,7.885931,17.967665
2020,51.858691,7.641121,16.003972
2021,63.886691,9.896074,18.561302
2022,65.417500,11.140554,20.623129
2023,65.029574,11.770456,20.555072
2024,65.280646,12.988956,22.991140
