"YYYYMM","Diesel","Natural gas","Flaring"
201001,0,1.334097,0.051057
201002,0,1.227819,0.056365
201003,0.028236,1.266058,0.143390
201004,0.015812,1.311965,0.053013
201005,0.026259,1.269504,0.072147
201006,0,0.984778,0.134849
201007,0.004306,0.940047,0.060629
201008,0.021177,1.042293,0.051644
201009,0.005294,1.183141,0.060036
201010,0.014118,1.225945,0.048889
201011,0.002541,1.189536,0.077322
201012,0.012671,1.409541,0.053607
201101,0.030001,1.128710,0.068349
201102,0.022059,1.214073,0.046190
201103,0.008294,1.328566,0.067294
201104,0,1.361070,0.037599
201105,0.079095,0.772764,0.060464
201106,0.053637,1.105147,0.069767
201107,0.040660,1.367140,0.054662
201108,0.021177,1.335916,0.051179
201109,0.086860,1.106514,0.072603
201110,0.021177,1.170691,0.051482
201111,0.052942,1.277966,0.040971
201112,0.074295,1.305962,0.060038
201201,0.029153,1.375747,0.034552
201202,0.021177,1.186765,0.054820
201203,0.045424,1.242259,0.043311
201204,0,1.239243,0.063434
201205,0.026471,1.311909,0.075851
201206,0.042177,1.059989,0.045484
201207,0.048424,0.875190,0.062330
201208,0.017647,1.395408,0.048815
201209,0.007059,1.244313,0.094286
201210,0.017647,1.277273,0.045271
201211,0.022906,1.202852,0.038198
201212,0,1.322088,0.025013
201301,0.021177,1.253389,0.044529
201302,0.035295,1.088699,0.036456
201303,0.021389,1.171939,0.076207
201304,0.070589,1.158567,0.028555
201305,0.004941,1.252713,0.037796
201306,0.008082,1.100051,0.074988
201307,0.035295,1.339478,0.041385
201308,0.007059,1.199537,0.049140
201309,0.017647,1.162021,0.035017
201310,0.000918,1.177990,0.036649
201311,0.010341,0.997697,0.077936
201312,0.014118,1.312243,0.038673
201401,0,1.236877,0.057877
201402,0,1.115650,0.061089
201403,0.025800,1.225412,0.062960
201404,0.039742,1.072255,0.085227
201405,0.059754,0.357523,0.026775
201406,0,1.210301,0.034407
201407,0.004588,1.279511,0.070347
201408,0.017083,1.310038,0.059754
201409,0,1.272959,0.077526
201410,0.016624,1.230584,0.075506
201411,0.025412,1.109080,0.050433
201412,0.002471,1.248471,0.050923
201501,0,1.229634,0.060343
201502,0,1.146025,0.036293
201503,0.005153,1.251763,0.054841
201504,0,1.085970,0.063600
201505,0.004835,1.262860,0.059536
201506,0.012713,1.273721,0.038582
201507,0,1.320615,0.056581
201508,0,1.251497,0.049194
201509,0.003035,1.238881,0.034172
201510,0,1.234680,0.091375
201511,0.024706,1.219696,0.036690
201512,0.020471,1.272878,0.039311
201601,0.000109,1.206767,0.053840
201602,0,1.154670,0.046852
201603,0,1.220717,0.056914
201604,0,1.229167,0.038534
201605,0.012494,1.232599,0.052400
201606,0,1.322234,0.037872
201607,0,1.346027,0.042282
201608,0.007518,1.346491,0.043507
201609,0.005365,1.198476,0.070321
201610,0.017541,1.206502,0.062441
201611,0.014647,1.221257,0.038403
201612,0.001624,1.328613,0.040822
201701,0,1.312895,0.038714
201702,0,1.058469,0.040797
201703,0,1.295259,0.040294
201704,0.002894,1.295674,0.046896
201705,0,1.337426,0.042823
201706,0,1.288605,0.038452
201707,0.006318,1.328986,0.055731
201708,0.003424,1.246719,0.042266
201709,0.014541,1.109942,0.052088
201710,0.008824,1.250423,0.039608
201711,0.004271,1.189660,0.046062
201712,0.018000,1.285989,0.037676
201801,0,1.278034,0.034401
201802,0,1.139163,0.040273
201803,0.010588,1.279270,0.042664
201804,0.005365,1.254964,0.031765
201805,0.047295,0.209445,0.040954
201806,0,1.172505,0.033559
201807,0.008471,1.340714,0.045505
201808,0.002541,1.165197,0.037942
201809,0,1.229775,0.035000
201810,0.005647,1.218797,0.044744
201811,0.013059,1.125178,0.040422
201812,0.016024,1.115072,0.043767
201901,0,1.178853,0.033114
201902,0.018219,0.997494,0.037295
201903,0,1.159450,0.040376
201904,0.006388,1.046057,0.038097
201905,0.089684,0.896402,0.041576
201906,0.004165,1.279725,0.032150
201907,0.033318,1.223274,0.037516
201908,0,1.305229,0.036954
201909,0,1.265929,0.034309
201910,0.015706,1.191910,0.049497
201911,0,1.209965,0.030857
201912,0,1.333005,0.037294
202001,0,1.082218,0.041438
202002,0.008012,0.964882,0.028757
202003,0.004235,1.177085,0.028595
202004,0,1.130563,0.027572
202005,0,1.130937,0.032937
202006,0,0.884962,0.033527
202007,0.050436,0.851348,0.039187
202008,0,0.883601,0.026474
202009,0.004941,0.849183,0.038085
202010,0.007835,0.901853,0.037283
202011,0.011259,0.862309,0.025834
202012,0.029612,0.961917,0.041178
202101,0.008824,1.167237,0.030756
202102,0.007765,0.996445,0.037737
202103,0,1.157443,0.044379
202104,0,1.092329,0.034468
202105,0,1.063268,0.039180
202106,0.016606,1.254511,0.035497
202107,0,1.174363,0.043829
202108,0.003529,1.137834,0.042708
202109,0.026026,1.190172,0.032634
202110,0.005365,1.115755,0.038082
202111,0.009847,1.269905,0.027557
202112,0.017259,1.351816,0.028971
202201,0,1.313262,0.038418
202202,0,1.089749,0.036086
202203,0.014118,1.238828,0.029483
202204,0,1.309161,0.027467
202205,0,1.286937,0.055065
202206,0.007412,1.318265,0.025648
202207,0,1.294943,0.028409
202208,0.051177,1.276878,0.032566
202209,0.064385,0.251190,0.039991
202210,0.021353,1.037513,0.031432
202211,0.024706,0.956345,0.037373
202212,0.030447,1.133009,0.038897
202301,0.010871,1.038617,0.031951
202302,0.015671,0.941040,0.024625
202303,0,1.318617,0.030235
202304,0,1.187074,0.029842
202305,0.012353,1.172103,0.031132
202306,0.007059,0.963572,0.043399
202307,0.012177,1.193210,0.026844
202308,0.005566,1.109993,0.029942
202309,0.019589,0.969176,0.028380
202310,0.010941,1.032656,0.035300
202311,0.014118,1.051238,0.026362
202312,0.014181,1.063483,0.030938
202401,0,1.149182,0.026119
202402,0,0.953825,0.024156
202403,0.021989,1.097976,0.041043
202404,0.018389,1.046936,0.030823
202405,0.021459,1.096040,0.028490
202406,0,1.055521,0.021237
202407,0.011700,1.085306,0.028840
202408,0,1.093493,0.021549
202409,0,1.130631,0.022478
202410,0.005894,1.033676,0.049827
202411,0,1.031053,0.022441
202412,0.005747,1.051561,0.022452
202501,0,0.920374,0.024308
202502,0.020118,0.943576,0.022781
