"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,22.732144,345.082649,51798921.597000,5327803110
1991,23.205591,347.459084,52382575.284000,5418735891
1992,22.520424,349.577561,53225757.737000,5505989816
1993,22.749872,352.421316,54089903.421000,5591544797
1994,22.974598,356.894093,55605115.435000,5675551255
1995,23.516638,364.735296,57329440.685000,5758878982
1996,24.233477,375.284997,59460667.205000,5842055734
1997,24.380321,378.969360,61780309.955000,5924787816
1998,24.295713,381.068639,63313033.380000,6007066690
1999,24.837771,387.410325,65484845.480000,6089006339
2000,25.511483,397.499017,68562480.758000,6171702993
2001,25.692994,401.375866,70151849.306000,6254936459
2002,26.265332,410.019965,71988652.462000,6337730342
2003,27.652690,424.258587,74594395.763000,6420361634
2004,28.610024,445.830256,78408445.037000,6503377772
2005,29.598950,460.572178,81973354.376000,6586970132
2006,30.594152,473.332343,86185014.930000,6671452015
2007,31.499256,488.224759,90598493.468000,6757308781
2008,32.049660,494.025845,93061615.979000,6844457662
2009,31.513014,486.119591,92416823.676000,6932766416
2010,33.317673,509.767405,97058860.621000,7021732148
2011,34.479989,521.687844,100787138.910000,7110923765
2012,34.954735,529.208768,103881281.930000,7201202485
2013,35.275820,538.559032,107259832.140000,7291793585
2014,35.465694,544.460972,110826998.810000,7381616244
2015,35.403528,548.487442,114476948.940000,7470491872
2016,35.392830,555.197342,118166170.320000,7558554526
2017,35.974610,567.451104,122581865.980000,7645617954
2018,36.734003,582.502096,126834978.180000,7729902781
2019,37.086567,589.300624,130413790.840000,7811293698
2020,35.158230,568.778007,126207941.350000,7887001292
2021,36.866864,597.756577,133699892.270000,7954448391
2022,37.527772,608.621531,138316579.490000,8021407192
2023,38.094044,620.059628,142665975.490000,8091734930
2024,38.598578,636.253563,147470831.440000,8161972572
