"Year","Coal","Oil","Gas","Cement"
1950,16.612576,4.961056,0,0.432480
1951,15.736880,5.708512,0,0.486994
1952,16.385408,5.928352,0,0.599753
1953,16.209536,6.327728,0,0.621463
1954,17.986576,7.001904,0,0.603291
1955,17.704448,8.753296,0,0.621463
1956,15.374144,10.424080,0,0.585120
1957,13.527488,10.805136,0,0.574217
1958,14.230976,12.043568,0,0.527043
1959,12.787360,12.567520,0,0.686976
1960,14.885000,14.163281,0,0.712232
1961,14.469136,16.462352,0,0.781371
1962,15.903845,20.193963,0,0.806731
1963,16.126716,23.799823,0,0.752297
1964,14.916144,27.304128,0,0.937566
1965,13.732672,29.586800,0,0.984891
1966,14.066096,34.983872,0,1.035771
1967,12.574848,35.372256,0,1.086651
1968,12.340352,39.813024,0,1.126628
1969,11.504960,46.554784,0,1.290171
1970,9.365184,51.391264,0,1.286613
1971,5.741488,49.914672,0,1.348181
1972,5.331120,52.790912,0,1.413074
1973,9.072064,48.639600,0,1.416316
1974,8.185376,45.554512,0,1.218269
1975,10.834448,43.649232,0,1.089406
1976,12.237760,46.518144,0,1.143498
1977,13.732672,46.551120,0,1.118872
1978,12.875296,46.551120,0,1.268549
1979,16.290144,45.114832,0,1.162105
1980,22.016976,37.193264,0,0.922021
1981,18.092832,32.635248,0,0.767953
1982,22.071286,30.473986,0,0.846647
1983,19.968800,29.106816,0.029312,0.788048
1984,21.369989,28.141549,0.216192,0.792807
1985,28.007616,29.564816,1.286064,0.825269
1986,27.012990,28.346603,2.128651,0.958274
1987,27.467282,26.925044,2.703862,0.889587
1988,25.966768,24.816272,3.169360,0.790445
1989,20.498539,23.396545,3.612432,0.939551
1990,24.005216,23.186904,4.350079,0.774722
1991,32.569900,24.286581,4.917128,0.992554
1992,27.133132,23.621030,5.167024,1.129344
1993,28.451488,23.997799,5.850921,1.142756
1994,30.577564,25.164703,6.545733,1.167538
1995,25.600004,26.024279,7.573576,1.242614
1996,35.136786,28.364089,8.908554,1.312744
1997,26.150118,27.142511,9.375399,1.311560
1998,22.219104,26.393195,10.186238,1.389830
1999,18.672011,26.257884,10.710983,1.354876
2000,15.657394,25.365925,10.640030,1.385260
2001,16.557831,25.608221,11.104583,1.387852
2002,16.537388,25.319642,11.096416,1.416300
2003,22.573276,24.394455,11.214445,1.329911
2004,17.281043,24.072306,11.153823,1.458926
2005,14.601613,23.885672,10.690061,1.363377
2006,22.005606,24.230827,10.882100,1.395466
2007,18.421879,24.168893,9.738139,1.407086
2008,16.133723,23.316720,9.826283,1.154749
2009,15.784477,22.295519,9.411799,0.764407
2010,15.351008,21.945792,10.554855,0.672224
2011,12.914962,20.915118,8.971734,0.861805
2012,10.078159,19.952408,8.404001,0.871083
2013,12.754866,19.574289,7.929383,0.867063
2014,10.143308,19.084705,6.809819,0.887302
2015,7.242452,19.471120,6.904703,0.931502
2016,8.413077,19.751435,7.008985,1.095455
2017,6.252826,19.918138,6.675760,1.193741
2018,6.361589,19.967996,6.483357,1.159742
2019,3.588381,19.685833,6.023657,1.129199
2020,3.166356,18.578794,4.798808,1.226954
2021,4.207500,18.826885,4.807840,1.209833
2022,4.133048,19.868757,3.467566,1.073483
2023,2.632574,21.139411,3.526191,0.981543
2024,1.802883,21.477174,3.556096,0.981543
