"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.577987,8.282524,1599748.381400,864972221
1991,0.615388,8.739587,1616655.025100,883927600
1992,0.655424,9.189980,1705286.455900,902957070
1993,0.677262,9.418493,1786300.799400,922118387
1994,0.714043,9.925637,1905249.213200,941163767
1995,0.760480,10.667225,2049562.159400,960301044
1996,0.823602,11.093873,2204294.310600,979678458
1997,0.857976,11.707235,2293564.281200,999133762
1998,0.875783,12.418188,2435407.833500,1018665080
1999,0.961194,12.766906,2650838.057300,1038225823
2000,0.987065,13.411444,2752656.512700,1057922733
2001,1.001198,13.467145,2885443.734200,1077898575
2002,1.032750,13.934911,2995205.301800,1097600380
2003,1.068398,14.431356,3230639.864500,1116803006
2004,1.134611,15.669545,3486601.413100,1135991513
2005,1.195393,16.590301,3762859.857100,1154676322
2006,1.293322,17.477519,4066173.927300,1172878890
2007,1.393485,18.968256,4377675.992100,1190676021
2008,1.490366,20.075504,4512801.632000,1207930964
2009,1.613328,21.558202,4867593.079600,1225524753
2010,1.678530,22.492405,5281220.924400,1243481564
2011,1.765695,23.713237,5558026.349000,1261224954
2012,1.926986,24.975965,5861293.873600,1278674502
2013,1.995337,25.787022,6235602.336900,1295829511
2014,2.148052,27.549834,6697674.662600,1312277191
2015,2.231817,28.412964,7233237.726300,1328024498
2016,2.352540,29.746284,7830435.930700,1343944296
2017,2.425722,30.858017,8362544.075500,1359657400
2018,2.595227,32.628097,8908868.161100,1374659064
2019,2.611175,33.413743,9268924.895200,1389030312
2020,2.422732,31.651991,8596765.190900,1402617695
2021,2.675778,34.361888,9366002.538300,1414203896
2022,2.831132,36.214118,10129641.720000,1425423212
2023,3.062756,38.980294,10828029.671000,1438069596
2024,3.193478,40.809805,11584756.109000,1450935791
